SecId,Name,PriceCurrency,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM36,GBRReturnM60,GBRReturnM120,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,FundTNAV,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,Size,Investment_Type,Curr_CHF,Curr_DKK,Curr_EUR,Curr_GBP,Curr_GBX,Curr_JPY,Curr_NOK,Curr_PLN,Curr_SEK,Curr_SGD,Curr_USD,Cat_Denmark Equity,Cat_Europe Equity Income,Cat_Europe Flex-Cap Equity,Cat_Europe Large-Cap Blend Equity,Cat_Europe Large-Cap Growth Equity,Cat_Europe Large-Cap Value Equity,Cat_Europe Mid-Cap Equity,Cat_Europe Small-Cap Equity,Cat_Europe ex-UK Equity,Cat_Europe ex-UK Small/Mid-Cap Equity,Cat_Eurozone Flex-Cap Equity,Cat_Eurozone Large-Cap Equity,Cat_Eurozone Mid-Cap Equity,Cat_France Small/Mid-Cap Equity,Cat_Germany Equity,Cat_Global Equity Income,Cat_Global Flex-Cap Equity,Cat_Global Large-Cap Blend Equity,Cat_Italy Equity,Cat_Long/Short Equity - Europe,Cat_Nordic Equity,Cat_Nordic Small/Mid-Cap Equity,Cat_Norway Equity,Cat_Property - Indirect Europe,Cat_Sector Equity Consumer Goods \u0026 Services,Cat_Sector Equity Ecology,Cat_Sector Equity Natural Resources,Cat_Sector Equity Technology,Cat_Spain Equity,Cat_Sweden Equity,Cat_Switzerland Equity,Cat_Switzerland Small/Mid-Cap Equity,Cat_UK Equity Income,Cat_UK Flex-Cap Equity,Cat_UK Large-Cap Equity,Cat_UK Mid-Cap Equity,Cat_UK Small-Cap Equity,FundType,Type_A,Type_B,Type_C,Type_I,Type_M,Type_P,Type_R
F0GBR04F1Q,GAM Star (Lux) - European Alpha C,EUR,2,5,Long/Short Equity - Europe,0.0,-0.81,0.34,1.7,0.4,-1.78,-2.27,-1.42,2.38,2.1,0.0,1.03,92379493.24,9914.42851,2,-2.15,0.1,7.43,8.47,-0.32,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,1,0,0,0,0
F0GBR04M9W,GAM Star (Lux) - European Momentum,EUR,4,3,Europe Flex-Cap Equity,0.0,0.13,3.48,12.5,20.51,16.09,6.87,8.81,11.04,2.26,0.0,0.49,15989065.97,9951.523159999999,3,-0.1,1.01,86.88,17.08,0.41,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F00000UO55,GAM Star (Lux) - European Momentum I€Acc,EUR,4,3,Europe Flex-Cap Equity,0.0,0.14,3.54,12.72,20.95,16.47,7.69,9.64,11.53,1.51,0.0,0.49,15989065.97,9951.523159999999,3,0.66,1.01,86.89,17.09,0.46,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F0GBR06IOE,GAM Star Continental Eurp Eq EUR Acc,EUR,4,3,Europe ex-UK Equity,0.0,0.29,2.45,7.61,16.49,13.42,9.75,9.79,10.62,1.39,0.0,0.46,567098590.1,27020.879160000004,3,0.36,1.0,90.9,16.37,0.58,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F0GBR06KQ0,GAM Star Continental Eurp Eq GBP Acc,GBP,4,3,Europe ex-UK Equity,0.0,0.36,2.53,8.25,9.7,9.06,9.02,11.71,10.28,1.39,0.0,0.46,567098590.1,27020.879160000004,3,0.35,1.0,90.91,16.36,0.58,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F00000Q28T,GAM Star Continental Eurp Eq Instl £ Acc,GBP,4,3,Europe ex-UK Equity,0.09022000000000001,0.37,2.57,8.38,9.97,9.3,9.55,12.27,10.62,0.89,0.0,0.46,567098590.1,27020.879160000004,3,0.84,1.0,90.92,16.37,0.61,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,1,0,0,0
F000005GUH,GAM Star European Equity C EUR Acc,EUR,3,3,Europe Large-Cap Growth Equity,0.0,0.08,2.32,7.51,17.01,12.28,10.4,10.34,10.04,2.16,0.0,0.46,435189022.0,28068.32387,4,-3.06,1.17,87.64,16.3,0.62,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,1,0,0,0,0
F00000GX6O,GAM Star European Equity Instl EUR Acc,EUR,4,3,Europe Large-Cap Growth Equity,0.26302,0.1,2.43,7.83,17.71,12.87,11.72,11.67,11.32,0.96,0.0,0.46,435189022.0,28068.32387,4,-1.88,1.18,87.67,16.32,0.69,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,1,0,0,0
F0GBR04WZN,GAM Star European Equity Ord CHF Acc,CHF,4,3,Europe Large-Cap Growth Equity,0.0,-0.56,2.08,6.0,19.0,13.56,8.93,11.17,9.59,1.46,0.0,0.46,435189022.0,28068.32387,4,-2.37,1.18,87.66,16.32,0.66,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F0GBR04SL1,GAM Star European Equity Ord EUR Acc,EUR,4,3,Europe Large-Cap Growth Equity,0.026369999999999998,0.09,2.38,7.69,17.42,12.63,11.17,11.11,10.8,1.46,0.0,0.46,435189022.0,28068.32387,4,-2.38,1.18,87.66,16.32,0.66,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
