SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F00000YR7T,16.93 Bil,14.9,43.32,31.24,6.72,0
F000000JYW,26.27 Bil,32.87,43.82,21.61,1.43,0
F000000JZ2,26.27 Bil,32.87,43.82,21.61,1.43,0
F000000JZ4,26.27 Bil,32.87,43.82,21.61,1.43,0
F000000JZ3,26.27 Bil,32.87,43.82,21.61,1.43,0
F000000JZ1,26.27 Bil,32.87,43.82,21.61,1.43,0
F00000QJ44,26.27 Bil,32.87,43.82,21.61,1.43,0
F0GBR04AGW,20.73 Bil,19.36,50.98,22.57,3.04,0
F0GBR04EZC,20.73 Bil,19.36,50.98,22.57,3.04,0
F0GBR04AGZ,20.73 Bil,19.36,50.98,22.57,3.04,0
F0GBR04AH1,20.73 Bil,19.36,50.98,22.57,3.04,0
F0GBR052I9,20.73 Bil,19.36,50.98,22.57,3.04,0
F00000QJ41,20.73 Bil,19.36,50.98,22.57,3.04,0
F0GBR04AH5,25.73 Bil,31.54,40.06,21.92,1.48,0
F00000T3F2,25.73 Bil,31.54,40.06,21.92,1.48,0
F0GBR04EZ8,25.73 Bil,31.54,40.06,21.92,1.48,0
F0GBR04AH7,25.73 Bil,31.54,40.06,21.92,1.48,0
F0GBR04AH9,25.73 Bil,31.54,40.06,21.92,1.48,0
F00000NMRO,25.73 Bil,31.54,40.06,21.92,1.48,0
F0GBR052I8,25.73 Bil,31.54,40.06,21.92,1.48,0
F00000QJ47,25.73 Bil,31.54,40.06,21.92,1.48,0
F0GBR04SQV,3.04 Bil,0,13.06,47.82,32.73,6.02
F0GBR04T6V,3.04 Bil,0,13.06,47.82,32.73,6.02
F0GBR06PXN,3.04 Bil,0,13.06,47.82,32.73,6.02
F0GBR04SQZ,3.04 Bil,0,13.06,47.82,32.73,6.02
F0GBR04SR5,3.04 Bil,0,13.06,47.82,32.73,6.02
F00000Y0PK,3.04 Bil,0,13.06,47.82,32.73,6.02
F00000QKXT,3.04 Bil,0,13.06,47.82,32.73,6.02
F0GBR06LJ5,19.26 Bil,21.42,38.42,34.16,4.72,0
F00000OZEY,19.26 Bil,21.42,38.42,34.16,4.72,0
F0GBR06LJ6,19.26 Bil,21.42,38.42,34.16,4.72,0
F0GBR06LJ7,19.26 Bil,21.42,38.42,34.16,4.72,0
F0GBR06LJ8,19.26 Bil,21.42,38.42,34.16,4.72,0
F00000OZEZ,19.26 Bil,21.42,38.42,34.16,4.72,0
F0000106PY,19.26 Bil,21.42,38.42,34.16,4.72,0
F0GBR06LJE,19.26 Bil,21.42,38.42,34.16,4.72,0
F00000Y0PP,19.26 Bil,21.42,38.42,34.16,4.72,0
F00000WGS3,19.26 Bil,21.42,38.42,34.16,4.72,0
F00000WGS1,19.26 Bil,21.42,38.42,34.16,4.72,0
F0GBR04HGZ,12.05 Bil,16.67,40.18,23.48,10.49,3.94
F00000T3EY,12.05 Bil,16.67,40.18,23.48,10.49,3.94
F0GBR053EE,12.05 Bil,16.67,40.18,23.48,10.49,3.94
F0GBR04G0Z,12.05 Bil,16.67,40.18,23.48,10.49,3.94
F0GBR053EH,12.05 Bil,16.67,40.18,23.48,10.49,3.94
F0GBR054AS,12.05 Bil,16.67,40.18,23.48,10.49,3.94
F00000QJ46,12.05 Bil,16.67,40.18,23.48,10.49,3.94
F00000QJ1W,17.42 Bil,13.33,46.13,32.55,2.59,0.67
F00000QJ1Y,17.42 Bil,13.33,46.13,32.55,2.59,0.67
F00000UEWW,17.42 Bil,13.33,46.13,32.55,2.59,0.67
F00000QJ1Z,17.42 Bil,13.33,46.13,32.55,2.59,0.67
F00000QJ20,17.42 Bil,13.33,46.13,32.55,2.59,0.67
F00000QJ22,17.42 Bil,13.33,46.13,32.55,2.59,0.67
F0GBR04ACG,11.36 Bil,17.59,32.34,36.14,7.02,5.44
F0GBR04F0B,11.36 Bil,17.59,32.34,36.14,7.02,5.44
F0GBR04ACO,11.36 Bil,17.59,32.34,36.14,7.02,5.44
F0GBR04ACS,11.36 Bil,17.59,32.34,36.14,7.02,5.44
F0GBR052JL,11.36 Bil,17.59,32.34,36.14,7.02,5.44
F0GBR061LU,38.07 Bil,40.9,36.59,17.75,2.71,0
F0GBR061M4,38.07 Bil,40.9,36.59,17.75,2.71,0
F0GBR061LX,38.07 Bil,40.9,36.59,17.75,2.71,0
F0GBR061MQ,38.07 Bil,40.9,36.59,17.75,2.71,0
F0GBR061MP,38.07 Bil,40.9,36.59,17.75,2.71,0
F0GBR04AFC,30.86 Bil,40.12,30.9,23.03,4.98,0
F0GBR04F0N,30.86 Bil,40.12,30.9,23.03,4.98,0
F0GBR04AFD,30.86 Bil,40.12,30.9,23.03,4.98,0
F0GBR04AFE,30.86 Bil,40.12,30.9,23.03,4.98,0
F00000WG1B,30.86 Bil,40.12,30.9,23.03,4.98,0
F0GBR04LWW,5.68 Bil,0,26.82,58.28,13.67,0.15
F0GBR0551C,5.68 Bil,0,26.82,58.28,13.67,0.15
F0GBR04U3B,5.68 Bil,0,26.82,58.28,13.67,0.15
F0GBR04U3D,5.68 Bil,0,26.82,58.28,13.67,0.15
F0GBR061IH,5.68 Bil,0,26.82,58.28,13.67,0.15
F0GBR04IBC,39.84 Bil,47.54,44.22,7.73,0,0
F0GBR059NV,39.84 Bil,47.54,44.22,7.73,0,0
F00000YQMF,39.84 Bil,47.54,44.22,7.73,0,0
F0GBR04S2O,12.85 Bil,12.8,54.8,30.44,1.27,0
F00000YQMG,12.85 Bil,12.8,54.8,30.44,1.27,0
F0GBR06C3N,18.83 Bil,19.37,50.42,24.88,3.32,0.27
F0GBR06G72,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR06TM0,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR06G74,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR063XB,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR06G78,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR06G76,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR06G75,17.07 Bil,28.18,33.38,28.25,7.55,0.82
F0GBR06G77,,28.18,33.38,28.25,7.55,0.82
