SecId,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F0GBR04LW5,56.04,29.89,82.18,60.75,26.68,85.34,77.05,22.33,95.45,78.8,9.22,88.53,26.22,7.92,48.96,20.77,20.77,91.95,17.23,10.76,26.92
F00000PLJ2,56.04,29.89,82.18,60.75,26.68,85.34,77.05,22.33,95.45,78.8,9.22,88.53,26.22,7.92,48.96,20.77,20.77,91.95,17.23,10.76,26.92
F0GBR0552S,56.04,29.89,82.18,60.75,26.68,85.34,77.05,22.33,95.45,78.8,9.22,88.53,26.22,7.92,48.96,20.77,20.77,91.95,17.23,10.76,26.92
F00000QBNN,56.04,29.89,82.18,60.75,26.68,85.34,77.05,22.33,95.45,78.8,9.22,88.53,26.22,7.92,48.96,20.77,20.77,91.95,17.23,10.76,26.92
F0GBR04IEZ,58.46,33.04,87.75,87.12,30.31,87.12,49.99,16.08,98.97,76.49,8.63,78.92,11.39,4.64,31.3,38.65,36.65,99.15,11.36,5.04,13.06
FOGBR05JFO,58.46,33.04,87.75,87.12,30.31,87.12,49.99,16.08,98.97,76.49,8.63,78.92,11.39,4.64,31.3,38.65,36.65,99.15,11.36,5.04,13.06
F0GBR0552T,58.46,33.04,87.75,87.12,30.31,87.12,49.99,16.08,98.97,76.49,8.63,78.92,11.39,4.64,31.3,38.65,36.65,99.15,11.36,5.04,13.06
FOGBR05JFP,58.46,33.04,87.75,87.12,30.31,87.12,49.99,16.08,98.97,76.49,8.63,78.92,11.39,4.64,31.3,38.65,36.65,99.15,11.36,5.04,13.06
F00000PLJ5,58.46,33.04,87.75,87.12,30.31,87.12,49.99,16.08,98.97,76.49,8.63,78.92,11.39,4.64,31.3,38.65,36.65,99.15,11.36,5.04,13.06
F00000NN3L,8.82,5.19,20.43,82.12,67.04,92.91,54.08,8.21,82.73,11.76,10.08,55.09,89.22,44.47,95.22,86.74,57.07,92.69,76.59,50.21,85.68
0P0000Y5T5,8.82,5.19,20.43,82.12,67.04,92.91,54.08,8.21,82.73,11.76,10.08,55.09,89.22,44.47,95.22,86.74,57.07,92.69,76.59,50.21,85.68
F00000NN3Q,8.82,5.19,20.43,82.12,67.04,92.91,54.08,8.21,82.73,11.76,10.08,55.09,89.22,44.47,95.22,86.74,57.07,92.69,76.59,50.21,85.68
0P0000YAHZ,8.82,5.19,20.43,82.12,67.04,92.91,54.08,8.21,82.73,11.76,10.08,55.09,89.22,44.47,95.22,86.74,57.07,92.69,76.59,50.21,85.68
F00000YWBD,8.82,5.19,20.43,82.12,67.04,92.91,54.08,8.21,82.73,11.76,10.08,55.09,89.22,44.47,95.22,86.74,57.07,92.69,76.59,50.21,85.68
F00000ZTBP,66.12,49.19,72.17,66.56,27.92,66.56,28.9,28.9,79.55,37.53,27.46,55.41,43.68,35.73,77.69,32.11,23.31,59.25,37.48,35.25,44.15
F0GBR06FY9,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F0GBR061CY,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F0GBR06FYF,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F0GBR06FYD,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F000011D5T,6.07,2.6,10.25,95.67,92.49,97.98,17.55,6.61,85.91,20.19,18.25,66.72,26.56,9.88,36.77,57.46,30.98,90.18,17.17,12.96,19.61
F000011D60,6.07,2.6,10.25,95.67,92.49,97.98,17.55,6.61,85.91,20.19,18.25,66.72,26.56,9.88,36.77,57.46,30.98,90.18,17.17,12.96,19.61
F000011D5X,6.07,2.6,10.25,95.67,92.49,97.98,17.55,6.61,85.91,20.19,18.25,66.72,26.56,9.88,36.77,57.46,30.98,90.18,17.17,12.96,19.61
F000011D5W,6.07,2.6,10.25,95.67,92.49,97.98,17.55,6.61,85.91,20.19,18.25,66.72,26.56,9.88,36.77,57.46,30.98,90.18,17.17,12.96,19.61
F000011D61,6.07,2.6,10.25,95.67,92.49,97.98,17.55,6.61,85.91,20.19,18.25,66.72,26.56,9.88,36.77,57.46,30.98,90.18,17.17,12.96,19.61
F0GBR06FYH,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F0GBR06FYI,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F00000ZTBA,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F00000VRLZ,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
0P0001AB97,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
0P00015YTR,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
0P00015YTU,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
0P00015YTX,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
0P00015YTO,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
F00000VRM0,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
0P00015YTV,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
0P00015YTY,88.18,69.5,95.21,38.99,28.09,88.22,26.05,14.22,98.48,32.54,15.92,92.12,17.08,6.41,23.48,73.04,7.75,91.58,12.47,12.23,33.23
F00000OS8P,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
0P0000X09J,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
0P0000X09H,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
0P0000X09I,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
0P0000X09G,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
0P0000XAIM,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
F00000TG5Z,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
0P000133C4,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
0P000135VX,37.5,20.8,66.95,37.24,31.63,84.42,93.4,8.86,96.29,83.28,82.16,95.76,68.46,33.36,87.44,91.35,82.59,97.51,13.91,12.71,22.44
F0GBR04OZL,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
0P0000CNVX,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
0P0000GGNS,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
0P0000GGNQ,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
0P00008WHV,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
0P0000GGNR,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
F00000SD2S,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
0P00011NM6,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
0P00011NMA,77.88,28.28,85.39,20.08,15.21,75.93,44.3,4.32,89.26,43.46,9.88,69.17,52.3,16.35,74.08,76.93,25.43,85.87,53.58,32.56,54.24
F0000000L0,87.66,77.55,93.03,45.14,17.21,58.76,37.26,17.59,93.98,76.26,30.63,78.34,27.47,16.67,39.96,22.42,14.42,68.07,34.44,19.51,38.22
F00000WB24,51.98,50.24,69.06,60.46,38.01,60.46,42.81,24.08,79.62,68.43,50.71,78.06,48.54,41.9,90.17,44.98,22.28,58.43,75.82,66.7,77.47
F00000W9MQ,51.98,50.24,69.06,60.46,38.01,60.46,42.81,24.08,79.62,68.43,50.71,78.06,48.54,41.9,90.17,44.98,22.28,58.43,75.82,66.7,77.47
F00000W9MT,52.27,50.45,70.72,34.75,22.85,39.72,68.22,37.75,70.17,63.99,50.67,70.63,65.48,49.54,85.93,50.77,37.34,63.27,76.19,74.72,81.08
F000002KUO,77,46.66,84.81,35.67,15.94,69.84,18.42,7.14,60.84,66.14,41.94,87.8,56.27,25.85,92.73,39.1,15.04,53.47,44.44,42.46,78.44
F000011D64,6.07,2.6,10.25,95.67,92.49,97.98,17.55,6.61,85.91,20.19,18.25,66.72,26.56,9.88,36.77,57.46,30.98,90.18,17.17,12.96,19.61
F00000XQF3,2.29,2.27,3.09,86.45,86.45,87.14,5.46,4.98,16.6,40.02,32.47,40.93,79.08,71.06,80.43,77.51,69.62,79.3,41.29,40.47,48.82
F00000XQF7,2.29,2.27,3.09,86.45,86.45,87.14,5.46,4.98,16.6,40.02,32.47,40.93,79.08,71.06,80.43,77.51,69.62,79.3,41.29,40.47,48.82
F00000XQFA,2.29,2.27,3.09,86.45,86.45,87.14,5.46,4.98,16.6,40.02,32.47,40.93,79.08,71.06,80.43,77.51,69.62,79.3,41.29,40.47,48.82
F00000YUOJ,2.29,2.27,3.09,86.45,86.45,87.14,5.46,4.98,16.6,40.02,32.47,40.93,79.08,71.06,80.43,77.51,69.62,79.3,41.29,40.47,48.82
F0000118J4,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118J6,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JH,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JJ,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JD,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118J8,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JA,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JM,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JU,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JS,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0GBR04CZP,30.16,11.34,36.58,65.39,54.83,80.01,26.39,9.18,63.31,40.63,19.35,76.74,49.88,36,83.66,42.64,42.64,89.06,75.88,58.96,81.6
0P0000H8EG,30.16,11.34,36.58,65.39,54.83,80.01,26.39,9.18,63.31,40.63,19.35,76.74,49.88,36,83.66,42.64,42.64,89.06,75.88,58.96,81.6
F0000022T9,30.16,11.34,36.58,65.39,54.83,80.01,26.39,9.18,63.31,40.63,19.35,76.74,49.88,36,83.66,42.64,42.64,89.06,75.88,58.96,81.6
0P0000SC09,30.16,11.34,36.58,65.39,54.83,80.01,26.39,9.18,63.31,40.63,19.35,76.74,49.88,36,83.66,42.64,42.64,89.06,75.88,58.96,81.6
F0000009KK,5.37,1,10.25,97.38,92.09,98.26,12.28,6.32,88.74,17.58,16.59,41.8,15.69,7,28.8,74.93,32.06,94.7,10.77,10.77,14.55
0P0000SC0A,5.37,1,10.25,97.38,92.09,98.26,12.28,6.32,88.74,17.58,16.59,41.8,15.69,7,28.8,74.93,32.06,94.7,10.77,10.77,14.55
