SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Top3_sector_percent,Top5_sector_percent
F0GBR04LWJ,444,23,18,-29.51,44.23,68.63
F0GBR06BQZ,444,23,18,-29.51,44.23,68.63
F0GBR054AX,61,9,33,64.75,58.26,81.26
F0GBR04OD7,61,9,33,64.75,58.26,81.26
F0GBR04OD9,61,9,33,64.75,58.26,81.26
F000003U7F,61,9,33,64.75,58.26,81.26
F00000X57E,111,16,28,90.77,48.49,71.84
F0000022BB,152,102,28,7.45,51.22,76.19
F000000HRU,152,102,28,7.45,51.22,76.19
F00000ZHS4,353,13,18,53.43,43.5,67
F00000ZHS7,353,13,18,53.43,43.5,67
F00000ZHS3,353,13,18,53.43,43.5,67
F00000ZHS6,353,13,18,53.43,43.5,67
F00000ZHS2,353,13,18,53.43,43.5,67
F00000ZHS5,353,13,18,53.43,43.5,67
F0GBR04BW8,50,12,44,30.14,50.34,72.71
F00000QDBN,50,12,44,30.14,50.34,72.71
F0GBR065RV,50,12,44,30.14,50.34,72.71
F00000ZN0H,50,12,44,30.14,50.34,72.71
F00000Q8AT,507,73,\u2014,0,47.03,68.69
F00000H6KY,59,45,34,12,48.05,71.28
F00000HBRY,59,45,34,12,48.05,71.28
F0GBR04VDE,392,25,14,\u2014,46.85,68.62
F0GBR058S0,392,25,14,\u2014,46.85,68.62
F0GBR05XHW,392,25,14,\u2014,46.85,68.62
F0GBR05XHV,392,25,14,\u2014,46.85,68.62
F0GBR05XHU,392,25,14,\u2014,46.85,68.62
F0000009A6,392,25,14,\u2014,46.85,68.62
F0000001U8,376,15,22,\u2014,52.8,77.84
F00000YOJO,376,15,22,\u2014,52.8,77.84
F000010794,376,15,22,\u2014,52.8,77.84
F0GBR04VDH,337,20,17,215,47.24,68.39
F0GBR058RW,337,20,17,215,47.24,68.39
F0GBR058RX,337,20,17,215,47.24,68.39
F0GBR05XFH,337,20,17,215,47.24,68.39
F0GBR05XFI,337,20,17,215,47.24,68.39
F0GBR05XFJ,337,20,17,215,47.24,68.39
F0GBR05XFG,337,20,17,215,47.24,68.39
F00000LKZI,337,20,17,215,47.24,68.39
F00000095U,337,20,17,215,47.24,68.39
F0GBR06L2K,243,5,26,160.7,49.91,72.86
F00000O61O,49,168,\u2014,\u2014,51.12,74.11
F00000O61V,49,168,\u2014,\u2014,51.12,74.11
F00000PTAC,49,168,\u2014,\u2014,51.12,74.11
F00000O623,49,168,\u2014,\u2014,51.12,74.11
F00000ZYFY,49,168,\u2014,\u2014,51.12,74.11
F0GBR04HUP,40,77,\u2014,24.45,56.13,78.13
F00000QLMB,40,77,\u2014,24.45,56.13,78.13
F00000NRHX,40,77,\u2014,24.45,56.13,78.13
F00000JUY7,53,190,\u2014,75.3,47.82,70.92
F0GBR050GU,53,190,\u2014,75.3,47.82,70.92
F00000QLSX,53,190,\u2014,75.3,47.82,70.92
F00000ZYGQ,53,190,\u2014,75.3,47.82,70.92
F00000NBKO,53,190,\u2014,75.3,47.82,70.92
F0GBR04IQE,44,11,\u2014,103.35,56.23,77.54
F0GBR04S5S,44,11,\u2014,103.35,56.23,77.54
F0GBR05ZM5,129,23,19,129.52,45.49,68.69
F0GBR05716,32,15,43,21.58,62.98,81.09
F0GBR04SGL,32,15,43,21.58,62.98,81.09
F0GBR05717,32,15,43,21.58,62.98,81.09
F0GBR05ZM4,129,23,19,129.52,45.49,68.69
F00000PTA6,44,11,\u2014,103.35,56.23,77.54
