SecId,Name,PriceCurrency,TenforeId,LegalName,ClosePrice,StarRatingM255,SustainabilityRank,QuantitativeRating,CategoryName,Yield_M12,GBRReturnD1,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,GBRReturnM120,MaxFrontEndLoad,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,MaximumExitCostAcquired,FeeLevel,ManagerTenure,MaxDeferredLoad,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,InvestorTypeRetail,InvestorTypeProfessional,InvestorTypeEligibleCounterparty,ExpertiseBasic,ExpertiseAdvanced,ExpertiseInformed,ReturnProfilePreservation,ReturnProfileGrowth,ReturnProfileIncome,ReturnProfileHedging,ReturnProfileOther,TrackRecordExtension
F0000102YT,Mirabaud-Discovery Eur ex UK N EUR Acc,EUR,52.8.LU1708481368,Mirabaud - Discovery Europe ex UK N EUR Acc,130.15,2,2,,Europe ex-UK Small/Mid-Cap Equity,0,0.04,-0.44,2.14,12.35,27.67,21.21,48.32,8.71,,,0,1.08,0,0.47,,,5.58,,42214159.42,9,1031.99087,4,-1.24,1.05,92.34,21.24,0.49,1,1,1,1,1,1,3,1,3,3,2,FALSE
F00000WLBH,Mirabaud-Discovery Eur ex UK S GBP Acc,GBP,52.8.LU1321016716,Mirabaud - Discovery Europe ex UK S GBP Acc,216.3,3,2,,Europe ex-UK Small/Mid-Cap Equity,0,-0.19,-0.37,2.25,13.1,20.42,16.7,43.89,8.33,13.89,,0,0.76,0,0.47,,,5.58,,42214159.42,9,1031.99087,4,-0.92,1.05,92.33,21.23,0.51,1,1,1,1,1,1,3,1,3,3,2,FALSE
F000002ILI,Mirabaud - Discovery Europe I EUR Acc,EUR,52.8.LU0334004206,Mirabaud - Discovery Europe I EUR Acc,207.93,3,2,,Europe Small-Cap Equity,0,0.03,-0.99,-0.21,8.69,26.16,19.01,49.55,7.93,11.71,,0,1.01,0,0.59,,,5.58,,93452111,9,854.39397,3,-0.22,1.01,90.14,21.25,0.45,1,1,1,1,1,1,3,1,3,3,2,FALSE
F0000101BE,Mirabaud - Discovery Europe N EUR Acc,EUR,52.8.LU1708485781,Mirabaud - Discovery Europe N EUR Acc,131.83,3,2,,Europe Small-Cap Equity,0,0.03,-1,-0.22,8.66,26.1,18.97,49.43,7.86,,,0,1.08,0,0.59,,,5.58,,93452111,9,854.39397,3,-0.29,1.01,90.12,21.25,0.45,1,1,1,1,1,1,3,1,3,3,2,FALSE
F00000MQHY,Mirabaud Eqs Swiss Sm & Mid A CHF Acc,CHF,52.8.LU0636969866,Mirabaud - Equities Swiss Small & Mid A CHF Acc,639.12,3,3,,Switzerland Small/Mid-Cap Equity,0,-0.78,0.01,5.27,8.41,19.49,15.91,36.71,8.75,13.73,11.41,0,1.8,0,0.05,,,5.75,,1001691143,6,4356.65858,4,2.34,0.99,93.16,16.13,0.65,1,1,1,1,1,1,3,1,3,3,2,FALSE
F00000XBPD,Mirabaud Eqs Swiss Sm & Mid D CHF Acc,CHF,52.8.LU1425341697,Mirabaud - Equities Swiss Small & Mid D CHF Acc,161.58,3,3,,Switzerland Small/Mid-Cap Equity,0,-0.78,0.02,5.34,8.62,19.94,16.29,37.73,9.57,,,0,1.05,0,0.05,,,5.75,,1001691143,6,4356.65858,4,3.08,0.99,93.17,16.14,0.7,1,1,1,1,1,1,3,1,3,3,2,FALSE
F00000W3Z5,Mirabaud Eqs Swiss Sm & Mid D GBP Acc,GBP,52.8.LU1084154795,Mirabaud - Equities Swiss Small & Mid D GBP Acc,285.31,4,3,,Switzerland Small/Mid-Cap Equity,0,-0.92,0.75,5.74,11,11.44,10.89,31.09,11.08,16.55,,0,1.05,0,0.05,,,5.75,,1001691143,6,4356.65858,4,3.08,0.99,93.16,16.14,0.7,1,1,1,1,1,1,3,1,3,3,2,FALSE
F00000MQHZ,Mirabaud Eqs Swiss Sm & Mid I CHF Acc,CHF,52.8.LU0636979667,Mirabaud - Equities Swiss Small & Mid I CHF Acc,725.12,4,3,,Switzerland Small/Mid-Cap Equity,0,-0.78,0.02,5.35,8.63,19.97,16.32,37.78,9.61,14.69,12.36,0,1,0,0.05,,,5.75,,1001691143,6,4356.65858,5,3.13,0.99,93.17,16.13,0.7,1,1,1,1,1,1,3,1,3,3,2,TRUE
F0000107GY,Mirabaud Eqs Swiss Sm & Mid N EUR Acc,EUR,52.8.LU1708484628,Mirabaud - Equities Swiss Small & Mid N EUR Acc,150.03,3,3,,Switzerland Small/Mid-Cap Equity,0,-0.69,0.67,5.66,10.35,18.34,15.33,35.55,11.82,,,0,1.05,0,0.05,,,5.75,,1001691143,6,4356.65858,4,3.09,0.99,93.15,16.13,0.7,1,1,1,1,1,1,3,1,3,3,2,FALSE
F00000QS7B,Mirova Euro Sustainable Equity I/A EUR,EUR,52.8.LU0914731780,Mirova Euro Sustainable Equity Fund I/A (EUR),95399.82,4,5,,Eurozone Large-Cap Equity,0,-0.09,0.43,1.46,7.89,14.65,13.02,26.73,8.54,9.73,7.66,0,1.01,0.61,0.06,,,7.58,,854655902,2,25315.46508,2,1.61,0.95,98.64,17.31,0.49,1,1,1,1,1,1,3,1,3,3,2,TRUE
