,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F0GBR05VWF,10.8,1.08,0.78,5.99,2.68,10.66,-8.38,-4.42,7.13,-0.9,257,52,23,75.33,,61.99,82.04,19.09 Bil,31.29,30.74,19.66,11.39,0.55,91.53,90.51,98.41,23.13,4.38,25.25,27.11,9.86,93.17,87.58,46.83,89.18,29.88,16.94,70.35,24.05,19.17,73.19,39.86,35.26,60.96
F0GBR055EU,10.8,1.08,0.78,5.99,2.68,10.66,-8.38,-4.42,7.13,-0.9,257,52,23,75.33,,61.99,82.04,19.09 Bil,31.29,30.74,19.66,11.39,0.55,91.53,90.51,98.41,23.13,4.38,25.25,27.11,9.86,93.17,87.58,46.83,89.18,29.88,16.94,70.35,24.05,19.17,73.19,39.86,35.26,60.96
F0GBR06CWO,12.62,1.4,0.95,6.8,2.35,11.75,-7.3,-4.75,2.34,-1.38,59,16,28,-4.35,,44.56,65.13,29.46 Bil,33.4,50.78,14.04,0,0,82.66,78.25,92.75,29.52,9.1,36.79,47.92,22.84,96.04,80.08,70.41,90.35,34.32,12.33,62.77,14.72,12.81,38.28,54.64,51.19,69.27
F0GBR04ABY,12.62,1.4,0.95,6.8,2.35,11.75,-7.3,-4.75,2.34,-1.38,59,16,28,-4.35,,44.56,65.13,29.46 Bil,33.4,50.78,14.04,0,0,82.66,78.25,92.75,29.52,9.1,36.79,47.92,22.84,96.04,80.08,70.41,90.35,34.32,12.33,62.77,14.72,12.81,38.28,54.64,51.19,69.27
F0GBR054PS,12.8,1,0.72,5.89,2.55,9.44,-4.04,-3.57,4.51,-1.69,66,7,,14.77,,53.6,75.13,12.15 Bil,15.3,37.73,20.89,12.94,3.31,87.61,85.83,97.21,36.75,8.86,37.86,71.99,52.16,96.99,71.13,46.93,89.41,36.01,18.7,44.51,26.72,14.77,70.45,30.58,25.55,37.32
F00000LPRQ,11.78,1.14,1.05,7.98,1.44,13.48,-16.41,-8.19,2.6,-3.98,38,26,,9.17,,63.71,85.83,25.00 Bil,33.81,38.67,25.08,0.33,0,87.7,77.87,97.79,60.03,6.65,66.4,13.61,13.61,96.49,83.6,36.89,91.27,21.16,12.21,88.94,13.17,6.18,36.97,53.4,39.73,71.84
F00000SD9V,19.49,2.02,1.73,11.98,1.18,11.3,-2.86,-6.13,14.65,4.8,66,26,26,70.12,,48.65,71.01,11.65 Bil,0.95,45.62,48.1,0,0,25.72,12.11,31.54,85.87,69.13,94.92,23.38,4.11,83.2,58.34,16.39,63.28,29.49,11.23,39.1,22.06,15.46,70.47,28.97,17.62,30.19
F00000LL8V,19.49,2.02,1.73,11.98,1.18,11.3,-2.86,-6.13,14.65,4.8,66,26,26,70.12,,48.65,71.01,11.65 Bil,0.95,45.62,48.1,0,0,25.72,12.11,31.54,85.87,69.13,94.92,23.38,4.11,83.2,58.34,16.39,63.28,29.49,11.23,39.1,22.06,15.46,70.47,28.97,17.62,30.19
F000010UCN,27.96,3.42,2.82,16.88,0.69,12.76,-4.62,-1.95,11.89,6.34,95,8,22,,,56.91,80.91,4.46 Bil,0,14.68,65.63,17.69,0,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCC,27.96,3.42,2.82,16.88,0.69,12.76,-4.62,-1.95,11.89,6.34,95,8,22,,,56.91,80.91,4.46 Bil,0,14.68,65.63,17.69,0,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F00000V4X6,22.92,2.96,1.66,13.59,1.3,12,-9.52,-0.37,15.34,5.47,55,7,25,-1.27,,51.33,74.35,5.37 Bil,0,14.61,72.05,9.67,0,17.05,4.09,20.08,86.8,82.41,96.66,26.67,2.44,55.59,62.19,15.6,66.95,49.11,17.82,55.89,34.03,22.94,81.9,17.44,15.87,22.43
F00000ZOT1,21.73,2.69,1.97,14.66,1.41,11.74,-2.11,-5.22,3.3,5.23,48,33,30,,,52.1,74.8,10.99 Bil,0,46.49,51.8,0,0,19.31,5.64,21.92,85.36,75.36,97.04,20.22,4.33,63.11,28.5,12.4,49.35,33.54,15.28,43.4,20.15,10.68,60.81,26.58,20.81,31.07
F0GBR04DZU,18.78,1.46,1.4,8.76,1.46,7.05,-7.63,-5.3,1.01,8.83,40,7,42,100.11,,46.78,73.01,11.57 Bil,0,51.74,47.49,0,0,26.88,18.31,44.69,66.21,50.43,86.1,30.8,7.08,77.89,73.23,37.27,82.31,50.68,17.44,64.39,19.5,13.29,87.18,27.46,22.81,29.01
F00000WNYB,20.37,2.5,2.09,22.64,1.43,10.9,-7.54,-2.04,15.24,6.08,51,6,36,,,58.88,81.46,4.02 Bil,0,0,80.56,15.98,0,20.17,3.11,23.25,86.63,71.26,98.94,32.63,14.47,89.03,29.72,12.28,46.21,25.33,17.08,39.79,37.85,27.89,85.1,15.04,7.31,18.89
F0GBR04F8U,21.25,2.39,2.63,20.73,1.08,9.77,-4.61,-16.12,16.44,6.19,55,19,44,407.74,,52.61,76.01,4.18 Bil,0,13.08,63.34,15.08,2.06,22.39,7.18,51.63,93.86,86.26,100,19.99,8.46,95.29,65.02,11.41,87.1,16.1,2.88,43.49,15.66,7.67,95.45,18.23,9.7,18.23
F00000QHNM,19.56,2.67,1.48,10.35,1.34,10.5,-5.29,-7.67,20.37,5.07,86,7,18,658.83,,62.01,76.75,4.57 Bil,0,5.29,82.53,8.09,0,24.86,13.57,28.44,81.23,71.75,90.79,27.26,4.33,70.86,41.02,19.94,70.95,28.98,15.17,51.53,20.61,19.37,78.63,16.62,12.97,18.14
F00000QHNQ,19.56,2.67,1.48,10.35,1.34,10.5,-5.29,-7.67,20.37,5.07,86,7,18,658.83,,62.01,76.75,4.57 Bil,0,5.29,82.53,8.09,0,24.86,13.57,28.44,81.23,71.75,90.79,27.26,4.33,70.86,41.02,19.94,70.95,28.98,15.17,51.53,20.61,19.37,78.63,16.62,12.97,18.14
F0GBR04M0F,31.69,5.89,2.98,19.22,0.55,14.01,8.27,9.65,25.32,11.99,40,1,44,-58.92,,74.02,94.94,5.22 Bil,0,8.38,69.63,11.82,0.36,4.53,1,6.18,97.46,96.69,99.58,14.57,2.27,90.11,26.19,4.18,43.39,20.82,5.1,35.09,23.46,17.96,86.73,19.87,15.7,22.39
F0GBR069TA,18.31,1.5,0.97,10.79,1.2,16.38,2.48,-5.97,-1.18,-2.04,53,35,27,0.45,,74.8,86.01,3.73 Bil,0,1.98,73.73,15.48,0,34,8.81,37.72,86.48,67.77,98.45,10.5,4.32,90.68,63.08,8.22,73.73,9.83,4.01,28.82,23.51,12.46,93.01,13.85,8.67,14.2
F0GBR04LG0,28.21,3.2,2.49,17.23,0.89,14.9,-0.17,-0.87,18.61,5.64,53,8,27,69.82,,45.65,67.76,3.59 Bil,0,4.6,72.43,19.48,1.04,5.47,3.95,25.38,95.99,88.61,96.24,18.16,2.39,72.07,24.76,12.5,49.31,23.92,6.21,45.99,41.23,24.5,89.46,13.57,12.46,15.79
F000000L7N,17.83,2.07,1.33,12.21,2.04,9.64,-6.77,-4.41,7.96,6.57,73,8,28,100.01,,48.48,70.23,3.75 Bil,0,0,90.35,7.52,0,35.15,11.8,51.39,72.11,60.94,87.88,38.8,3.69,82.87,45.14,16.22,69.5,47.29,16.96,56.16,26.2,12.48,83.86,13.12,12.8,16.37
F0000110I4,20.86,2.83,1.8,13.09,1.14,12.64,-0.6,-3.97,29.22,7.44,78,3,19,,,58.53,81.87,3.98 Bil,0,3.78,83.22,12.15,0,10.02,4.7,24.02,93.64,83.92,95.35,8.38,4.23,76.09,20.55,17.92,53.77,25.14,11.51,34.06,28.25,16.37,81.42,16.25,12.3,17.57
F0GBR04AUS,20.86,2.83,1.8,13.09,1.14,12.64,-0.6,-3.97,29.22,7.44,78,3,19,,,58.53,81.87,3.98 Bil,0,3.78,83.22,12.15,0,10.02,4.7,24.02,93.64,83.92,95.35,8.38,4.23,76.09,20.55,17.92,53.77,25.14,11.51,34.06,28.25,16.37,81.42,16.25,12.3,17.57
F00000V2ZU,21.54,2.35,2.08,15.9,1.37,10.3,-3.25,1.2,1.4,9.87,99,10,29,-24,,52.38,72.36,,0.58,21.75,51.33,22.39,2.14,17.44,9.04,21.17,88.56,82.96,92.27,75.74,6.58,89.3,14.11,11.23,52.48,33.2,18.47,47.73,71,34.58,85.58,14.82,14.27,18.18
F00000QBOB,21.54,2.35,2.08,15.9,1.37,10.3,-3.25,1.2,1.4,9.87,99,10,29,-24,,52.38,72.36,4.53 Bil,0.58,21.75,51.33,22.39,2.14,17.44,9.04,21.17,88.56,82.96,92.27,75.74,6.58,89.3,14.11,11.23,52.48,33.2,18.47,47.73,71,34.58,85.58,14.82,14.27,18.18
F0GBR04UGX,21.54,2.35,2.08,15.9,1.37,10.3,-3.25,1.2,1.4,9.87,99,10,29,-24,,52.38,72.36,4.53 Bil,0.58,21.75,51.33,22.39,2.14,17.44,9.04,21.17,88.56,82.96,92.27,75.74,6.58,89.3,14.11,11.23,52.48,33.2,18.47,47.73,71,34.58,85.58,14.82,14.27,18.18
F0GBR04IEZ,17.96,2.54,1.15,10.55,1.15,10.38,-13.68,-9.39,10.27,-1.35,48,3,31,53.32,,67.45,78.95,2.43 Bil,0,1.53,51.34,38.88,4.49,58.46,33.04,87.75,87.12,30.31,87.12,49.99,16.08,98.97,76.49,8.63,78.92,11.39,4.64,31.3,38.65,36.65,99.15,11.36,5.04,13.06
F0GBR04ABX,18.53,1.89,0.96,9.08,1.3,12.96,-2.58,0.54,3.21,-1.46,67,14,28,83.16,,64.66,84.53,1.66 Bil,0,0,44.38,43.56,9.91,47.76,11.78,47.76,91.23,81.48,95.45,13.84,8.07,94.64,73.35,27.37,81.18,8.86,2.63,15.5,65.18,49.7,96.9,7.83,3.2,8.79
FOGBR05KLS,18.05,1.95,1.43,11.83,1.06,13.38,-20.67,-4.87,11.67,3.53,167,21,,96.22,,52.87,71.52,2.05 Bil,2,0.76,50.29,33.63,8.94,24.16,12.69,29.63,90.68,75.31,97.38,23.64,5.85,91.78,19.42,11.05,64.67,15.82,2.63,15.98,82.81,62.4,93.81,9.93,7.23,10.58
F000001ATM,18.05,1.95,1.43,11.83,1.06,13.38,-20.67,-4.87,11.67,3.53,167,21,,96.22,,52.87,71.52,2.05 Bil,2,0.76,50.29,33.63,8.94,24.16,12.69,29.63,90.68,75.31,97.38,23.64,5.85,91.78,19.42,11.05,64.67,15.82,2.63,15.98,82.81,62.4,93.81,9.93,7.23,10.58
F000002NYU,28.62,3.87,3.2,17.04,0.74,15.49,-3.88,-1.97,10.26,5.64,88,10,22,8.31,,57.85,82.07,2.69 Bil,0,0,63.51,35.8,0,5.37,1,10.25,97.38,92.09,98.26,12.28,6.32,88.74,17.58,16.59,41.8,15.69,7,28.8,74.93,32.06,94.7,10.77,10.77,14.55
F0000009KK,28.62,3.87,3.2,17.04,0.74,15.49,-3.88,-1.97,10.26,5.64,88,10,22,8.31,,57.85,82.07,2.69 Bil,0,0,63.51,35.8,0,5.37,1,10.25,97.38,92.09,98.26,12.28,6.32,88.74,17.58,16.59,41.8,15.69,7,28.8,74.93,32.06,94.7,10.77,10.77,14.55
F0GBR04SFG,17.3,1.75,1.21,11.54,1.41,12.83,-10.44,-3.74,14.18,2.91,305,17,16,298.64,,60.34,77.58,2.81 Bil,0,2.23,68.81,24.35,1.37,38.9,17.91,38.9,84.09,67.54,92.66,13.99,9.57,94.97,37.9,15.2,44.77,13.29,4.91,18.38,23.05,20.16,79.04,12.16,9.37,15.1
F00000LX1M,16.69,1.89,1.45,12.38,2.24,9.6,-8.47,-6.59,18.09,4.8,49,1,30,18.58,,47.38,69.31,,0,1.74,62.98,33.58,0,53.91,13.95,53.91,61.77,60.1,93.3,34.98,4.09,90.46,36.64,6.56,37.01,58.69,4.74,58.69,64.51,35.55,92.69,12.66,6.86,12.66
F00000XK81,16.69,1.89,1.45,12.38,2.24,9.6,-8.47,-6.59,18.09,4.8,49,1,30,18.58,,47.38,69.31,2.55 Bil,0,1.74,62.98,33.58,0,53.91,13.95,53.91,61.77,60.1,93.3,34.98,4.09,90.46,36.64,6.56,37.01,58.69,4.74,58.69,64.51,35.55,92.69,12.66,6.86,12.66
F0GBR04EAC,29.48,4.68,3.61,21.32,0.83,10.31,0.97,1.25,22.59,6.02,50,12,39,27.25,,62.88,83.39,2.97 Bil,0,5.43,66.85,22.22,0,10.32,1,35.34,90.95,86.04,98.89,19.79,3.19,79.56,12.95,5.25,19.33,27.19,4.09,38.59,88.45,68.9,96.45,12.61,7.55,14.16
F00000P8DK,29.48,4.68,3.61,21.32,0.83,10.31,0.97,1.25,22.59,6.02,50,12,39,27.25,,62.88,83.39,2.97 Bil,0,5.43,66.85,22.22,0,10.32,1,35.34,90.95,86.04,98.89,19.79,3.19,79.56,12.95,5.25,19.33,27.19,4.09,38.59,88.45,68.9,96.45,12.61,7.55,14.16
F0000044E6,35.46,4.93,4.22,25.3,0.68,12.9,-9.45,-1.63,10.33,6.03,56,1,28,57.5,,57.6,76.89,3.26 Bil,0,10.53,62.58,22.54,1.04,3.38,1,11.67,95.99,89.72,98.02,23.9,4.52,90.22,4.82,3.24,14.79,19.31,8.57,36.79,76.34,67.26,93.89,13.9,9.98,14.84
F00000Q486,35.46,4.93,4.22,25.3,0.68,12.9,-9.45,-1.63,10.33,6.03,56,1,28,57.5,,57.6,76.89,3.26 Bil,0,10.53,62.58,22.54,1.04,3.38,1,11.67,95.99,89.72,98.02,23.9,4.52,90.22,4.82,3.24,14.79,19.31,8.57,36.79,76.34,67.26,93.89,13.9,9.98,14.84
F00000ZS1K,31.33,5.46,2.9,21.58,0.9,19.55,5.45,9.86,8.44,13.32,78,21,21,-2.41,,77.32,89.46,1.90 Bil,0,0,49.35,49.79,2.58,2.91,1,4.56,98.49,96.5,99.38,4.27,3.98,86.62,2.66,2.53,7.58,12.62,3.18,19.35,90.81,83.11,96.46,9.97,5.41,10.03
F00000ZF2V,24.62,3.62,2.91,18.21,1.24,11.49,4.37,-0.94,5.56,9.25,57,7,25,,,58.26,80.03,3.10 Bil,0,1.16,60.35,22.06,0,14.3,3,14.3,86.41,86.41,96.85,30.76,6.64,81.93,6.15,4.58,12.22,28.25,7.39,40.94,77.15,55.57,90.53,16.13,9.96,16.81
F00000ZBNA,20.95,2.51,1.29,10.6,1,13.36,-7.99,-2.31,31.02,5.93,0,19,96,,,55.6,76.91,997.48 Mil,0,1.57,21.04,52.04,20.19,18.26,3.36,18.26,92.59,92.53,98.08,7.47,3.54,89.8,17.85,8.51,32.84,11.01,3.37,25,91.11,80.16,97.74,4.8,3.71,8.33
F00000YF5K,15.11,1.73,1.14,11.62,1.04,15.82,-10.69,-2.68,14.78,1.06,32,1,43,,,70.29,90.01,2.46 Bil,0,0,63.27,30.32,1.74,60.96,4.98,60.96,82.39,25.38,91.4,70.69,2.98,91.44,19.92,2.3,25.43,6.28,4.14,22.45,71.05,20.99,89.13,7.53,6.74,10.34
F00000YCY2,16.34,2.16,0.84,6.55,0.53,18.24,-1.82,-4.45,36.92,-3.7,87,38,19,265.84,,61.71,81.74,1.09 Bil,0,0.06,22.59,59.25,15.81,26.06,3.62,26.06,95.61,91.5,98.53,1,1,99.22,29.84,4.37,30.24,3.18,1,17.61,13.32,11.5,87.93,4.67,4.47,10.13
F00000YCGU,21.8,2.64,1.83,15.84,1.35,9.01,-0.2,-3.63,6.17,2.32,60,20,26,42.99,,57.63,77.67,2.51 Bil,0,6.85,59.32,31.55,1.88,15.02,10.76,27.53,90.15,84.95,97.46,20.27,6.61,94.59,28.1,11.18,28.1,14.69,4.69,21.58,33.8,23.91,93.21,12.09,6.7,12.12
F0000043SB,22.98,2.17,1.46,15.76,1.16,10.33,-8.07,-3.65,6.84,4.92,77,22,24,64.87,,50.77,75.67,4.40 Bil,0,9.38,77.48,12.07,0,19.38,5.69,22.31,91.04,85.46,97.68,13.68,2.94,87.41,25.5,6.13,25.5,23.83,6.15,27.63,33.94,20.63,82.75,14.66,9.09,16.28
F0000043SC,22.98,2.17,1.46,15.76,1.16,10.33,-8.07,-3.65,6.84,4.92,77,22,24,64.87,,50.77,75.67,4.40 Bil,0,9.38,77.48,12.07,0,19.38,5.69,22.31,91.04,85.46,97.68,13.68,2.94,87.41,25.5,6.13,25.5,23.83,6.15,27.63,33.94,20.63,82.75,14.66,9.09,16.28
F00000WMBE,19.88,2.34,2.43,14.02,1.28,11.84,-0.89,-0.11,10.01,9.71,83,1,,,,48.05,67.71,2.70 Bil,0,2.67,60.36,33.01,1.65,15.49,8.59,20.92,88.83,83.54,96.68,14.88,3.96,92.94,27.07,18.57,65,22.89,6.61,32.43,37.36,27.9,93.73,11.32,5.74,11.32
F000002TD6,26.08,2.81,2.57,17.04,0.68,12.71,-5.58,-0.01,8.64,8.46,105,12,22,-44.61,,58.91,84.55,2.75 Bil,0,5.4,58.51,29.65,4.32,5.03,2.34,15.4,97.95,96.19,99.27,8.71,4.51,97.48,12.84,7.52,58.32,13.58,2.49,22.7,43.5,19.16,93.59,12.27,7.66,13.58
F0GBR04S9C,18.63,3.57,2.52,14.25,0.63,14.79,-1.07,-3.15,33.18,3.33,48,8,36,47.25,,57.11,77.28,2.44 Bil,0,5.03,58.37,24.56,8.66,5.75,2.83,39.44,96.89,83.61,98.04,8.57,5.41,96.91,20.28,10.21,42.27,8.63,3.84,23,78.76,42.35,94.15,12.94,6.24,12.94
F00000OOBN,18.63,3.57,2.52,14.25,0.63,14.79,-1.07,-3.15,33.18,3.33,48,8,36,47.25,,57.11,77.28,2.44 Bil,0,5.03,58.37,24.56,8.66,5.75,2.83,39.44,96.89,83.61,98.04,8.57,5.41,96.91,20.28,10.21,42.27,8.63,3.84,23,78.76,42.35,94.15,12.94,6.24,12.94
F000002ILB,21.6,2.26,1.51,17.18,1.33,15.83,-8.29,8.73,10.67,12.03,42,2,42,79.92,,71.33,88.22,1.01 Bil,0,0,19.66,61.71,15.33,14.59,2.42,42.42,91.93,36.97,99.39,20.31,1,86.28,52.77,3.09,60.98,9.74,3.31,70.27,79.43,48.58,97.08,5.37,2.94,68.16
F00000VQIN,12.84,1.64,0.89,6.47,1.96,9.17,-1.54,0.96,32.29,4.23,221,11,13,94,,57.05,72.68,2.00 Bil,0,1.67,49.36,45.02,2.32,66.83,27.47,76.4,60.8,20.37,79.14,8.44,2.42,54.43,25.55,10.37,31.88,27.39,11.68,34.48,53.51,21.53,83.15,8.43,7.82,13.55
F000000LQ3,24.6,3.78,2.38,18.91,0.99,7.29,-9.28,1.08,20.67,8.64,45,26,38,,,64.75,80.85,3.53 Bil,0,3.52,65.67,24.38,0,10.66,2.36,20.16,86.61,86.14,96.67,12.86,2.36,80.13,16.6,3.87,19.09,23.46,7.39,34.75,77.35,54.7,95.63,13.73,8.57,14.02
F0GBR05716,21.62,2.74,2.01,14.94,1.18,18.02,-10,-9.19,-4.18,3.91,32,15,43,21.58,,62.98,81.09,2.76 Bil,0,0,53.5,41.48,3.99,25.22,10.39,58.22,91.05,74.52,93.24,25.15,4.16,95.42,64.74,24.1,71.27,16.08,6.11,29.71,89.1,32.38,93.08,8.85,8.19,13.21
F00000OXUQ,29.16,4.28,2.65,17.56,1.17,12.03,-2.86,1.6,17.8,7.08,43,28,42,66.13,,75.26,97.24,4.28 Bil,0,13.45,71.68,10.07,0,8.98,2.56,23.33,91.7,90.07,98.03,30.77,10.15,88.27,7.94,7.11,58.21,50.1,5.76,60.3,89.88,36.3,95.69,14.53,7.17,16.36
F00000YIFV,29.16,4.28,2.65,17.56,1.17,12.03,-2.86,1.6,17.8,7.08,43,28,42,66.13,,75.26,97.24,4.28 Bil,0,13.45,71.68,10.07,0,8.98,2.56,23.33,91.7,90.07,98.03,30.77,10.15,88.27,7.94,7.11,58.21,50.1,5.76,60.3,89.88,36.3,95.69,14.53,7.17,16.36
F0GBR05Z9H,16.57,1.78,1.31,10.95,1.43,13.81,-11.42,-6.91,14.53,0.5,76,17,19,70.58,,63.06,82.05,2.67 Bil,0,2.44,55.36,32.68,0,40.74,24.67,74.49,81.69,36.71,93.07,14.22,14.22,98.74,45.87,8.98,68.83,16.2,3.11,16.34,44.2,19.21,71.75,12.47,7.2,12.47
F00000QTTK,16.57,1.78,1.31,10.95,1.43,13.81,-11.42,-6.91,14.53,0.5,76,17,19,70.58,,63.06,82.05,2.67 Bil,0,2.44,55.36,32.68,0,40.74,24.67,74.49,81.69,36.71,93.07,14.22,14.22,98.74,45.87,8.98,68.83,16.2,3.11,16.34,44.2,19.21,71.75,12.47,7.2,12.47
F00000Q3YK,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98,53,1,45,41.37,,60.97,82.71,2.37 Bil,0.02,7.57,45.22,41.46,0.82,73.19,11.16,73.19,88.25,67.16,97.38,8.36,3.07,95.9,76.46,12.79,86.96,11.35,1,24.91,76.15,16.19,92.52,11.63,7.15,16.3
F000000RDD,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98,53,1,45,41.37,,60.97,82.71,2.37 Bil,0.02,7.57,45.22,41.46,0.82,73.19,11.16,73.19,88.25,67.16,97.38,8.36,3.07,95.9,76.46,12.79,86.96,11.35,1,24.91,76.15,16.19,92.52,11.63,7.15,16.3
F00000TFZM,24.63,2.95,1.81,14.98,0.95,14.32,-3.92,1.05,14.62,8.62,54,4,25,82.86,,55.87,78.91,2.43 Bil,0,5.1,56.62,36.43,1.58,8.29,3.61,45.46,91.85,72.38,95.09,10.08,8.22,93.41,7.08,5.62,42.01,19.86,9.07,35.17,73.66,38.17,92.01,9.63,6.7,11.5
F00000QL4P,24.63,2.95,1.81,14.98,0.95,14.32,-3.92,1.05,14.62,8.62,54,4,25,82.86,,55.87,78.91,2.43 Bil,0,5.1,56.62,36.43,1.58,8.29,3.61,45.46,91.85,72.38,95.09,10.08,8.22,93.41,7.08,5.62,42.01,19.86,9.07,35.17,73.66,38.17,92.01,9.63,6.7,11.5
F0000023H4,19.82,2.39,2.47,13.97,1.24,10.49,-3.01,-0.2,10.05,9.63,81,21,,75.37,,48.57,66.89,2.37 Bil,0,3.26,58.16,32.99,1.5,16.18,8.59,21.85,87.83,82.78,96.21,24.27,4.19,92.93,30.69,18.91,64.63,21.08,6.76,32.61,34.91,28.46,93.68,12.48,6.31,12.48
F0GBR04DCY,16.94,1.76,1.19,9.97,1.28,13.76,-13.41,-6,20.35,-1.68,126,15,18,91.64,,63.6,79.78,1.61 Bil,0,1.51,35.57,56.86,2.91,40.62,21.93,66.33,84.2,60.98,95.3,14.67,10.91,98.72,42.59,16.41,65.66,11.72,2.94,15.76,51.89,30.82,90.12,7.8,5.73,9.36
F0GBR05VVH,21.46,2.71,1.58,14.3,0.95,14.49,-3.75,-2.7,24.74,4.79,95,30,22,174.33,,67.97,82.84,3.60 Bil,0,1.59,80.31,15.97,0,12.65,2.95,25.1,95.31,83.45,96.99,8.56,1,55.69,23.08,9.8,36.25,14.24,5.41,29.46,35.77,18.79,90.49,13.2,10.02,15.1
F0GBR055TK,20.65,1.95,2.14,14.36,1.02,12.67,-8.4,-12.13,23.37,7.2,77,36,22,40.08,,58.88,81.73,3.21 Bil,0,4.73,67.04,20.94,3.19,14.96,9.58,21.82,92.62,73.31,96.89,32.78,4.34,84.88,15.36,12.06,65.86,19,7.27,26.84,53.92,23.08,86.48,14.05,10.46,15.1
F00000LL8U,20.65,1.95,2.14,14.36,1.02,12.67,-8.4,-12.13,23.37,7.2,77,36,22,40.08,,58.88,81.73,3.21 Bil,0,4.73,67.04,20.94,3.19,14.96,9.58,21.82,92.62,73.31,96.89,32.78,4.34,84.88,15.36,12.06,65.86,19,7.27,26.84,53.92,23.08,86.48,14.05,10.46,15.1
F0GBR05S8O,16.87,1.63,1.07,9.94,1.89,10.99,-9.86,-7.73,10.56,-2.85,"1,291",22,,-0.42,,55.02,74.25,2.23 Bil,0,0,60.24,32.81,4.88,57.83,34.72,64.13,74.96,57.62,83.82,26.08,8.02,88.06,41.77,23.27,54.14,19.95,7.45,26.01,61.69,44.96,87.16,9.23,7.98,10.81
F0GBR04SQV,19.47,2.51,1.75,12.42,0.64,17.57,-18.92,-0.43,19.02,5.13,41,76,,-140.18,,64.11,82.63,3.04 Bil,0,13.06,47.82,32.73,6.02,13.93,11.36,61.05,90.25,71.13,97.44,10.12,6.43,98.07,46.9,17.19,82.66,9.74,2.53,14.8,35.65,20.76,95.86,11.35,3.35,11.61
F0GBR06FY9,14.15,1.96,1.22,8.2,1.9,10.58,-9.41,-4.22,30.14,3.21,218,11,15,,,55.69,76.38,2.44 Bil,0,0.34,59.05,35.12,3.04,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F0GBR061CY,14.15,1.96,1.22,8.2,1.9,10.58,-9.41,-4.22,30.14,3.21,218,11,15,,,55.69,76.38,2.44 Bil,0,0.34,59.05,35.12,3.04,38.56,22.02,80.86,66.45,43.64,74.1,10.78,6.91,90.67,7.69,6.16,43.29,20.12,4.85,24.18,24.25,19.28,72.98,9.9,9.35,13.57
F0GBR04MXQ,18.56,2.28,1.25,12.7,1.12,13.81,-2.78,-1.32,22.83,4.88,218,67,11,108.42,,66.89,81.81,2.66 Bil,0,0,66.23,31.2,0.45,22.98,7.38,32,93.3,69.13,94.36,6.42,1,45,21.86,8.89,29.49,14.07,6.3,30.87,45.98,26.58,91.73,11.48,8.62,11.69
F0GBR05VWM,18.56,2.28,1.25,12.7,1.12,13.81,-2.78,-1.32,22.83,4.88,218,67,11,108.42,,66.89,81.81,,0,0,66.23,31.2,0.45,22.98,7.38,32,93.3,69.13,94.36,6.42,1,45,21.86,8.89,29.49,14.07,6.3,30.87,45.98,26.58,91.73,11.48,8.62,11.69
F0GBR04D43,24.84,3.28,2.44,18.46,1.28,11,-7.43,2.24,4.05,3.67,49,3,,91.9,,50.22,75.89,32.84 Bil,40.05,36.41,20.71,1.31,0,18.58,17.79,63.42,85.93,64.01,86.77,60.16,18.56,92.96,73.19,14.75,73.19,37.31,18.56,73.33,58.22,13.86,78.4,65.28,38.38,68.28
F00000Q8AT,17.93,1.99,1.61,11.62,2.07,9.86,-5.14,-2.98,4.18,0.41,507,73,,0,,47.03,68.69,36.47 Bil,45.53,38.28,13.45,0.16,0,37.66,37.66,63.11,52.39,30.05,56.76,57.64,27.68,74.24,42.02,37.77,54.87,70.16,59.34,92.52,51.99,29.49,54.17,71.95,69.21,77.36
F00000SFJ1,16.16,2.4,1.36,12.18,2.55,9.76,-7.51,-2.51,13.89,4.17,31,1,34,-18,,66.55,93.51,27.98 Bil,36.42,25.78,32.85,3.23,0,45.93,41.66,84.29,37.97,13.57,71.31,61.16,19.18,93.45,36.2,6.47,44.59,82.87,25.6,91.27,72.78,25.72,78.72,52.19,21.01,52.19
