,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F000000JZ1,17.3,1.95,1.25,10.67,1.65,11.73,-12.62,-4.06,-5.45,3.42,184,93,,15.4,,47.31,69.78,26.27 Bil,32.87,43.82,21.61,1.43,0,50.84,39.74,98.83,65.31,3.74,68.35,53.77,14.1,97.73,61.6,33.39,89.55,47.17,21.96,87.88,31.02,13.53,49.82,49.18,41.28,58.98
F00000LNV7,15.43,1.86,1.08,8.87,3.63,7.3,-3.4,-1.98,7.23,1.63,100,34,11,156.71,,45.52,67.83,,36.83,52.33,9.6,0,0,71.28,53.53,91.84,9.17,4.32,27.06,77.94,27.32,90.31,18.73,18.73,73.76,92.42,52.54,92.74,53.47,16.66,64.36,61.3,49.13,61.85
F0000000Y6,13.39,1.67,1.02,7.58,2.86,9.96,-4.68,-4.15,3.55,-0.37,64,14,26,-19.63,,42.35,63.29,34.24 Bil,36.05,50.06,11.64,0.8,0,81.71,77.63,92.29,15.82,9.92,34.39,63.64,38.19,91.28,84.16,52.37,87.44,56.82,20.41,73.4,20.94,16.78,59.18,62.28,51.09,68.78
F00000LLTT,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84,40,42,37,158.96,,57.7,78.5,38.60 Bil,46.07,33.92,18.74,0,0,57.7,25.56,74.53,21.89,10.86,54.02,77.82,9.38,85.56,25.04,16.09,85.65,89.89,41.65,95.13,48.05,23.88,81.53,65.7,47.15,75.01
F00000LX1G,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84,40,42,37,158.96,,57.7,78.5,38.60 Bil,46.07,33.92,18.74,0,0,57.7,25.56,74.53,21.89,10.86,54.02,77.82,9.38,85.56,25.04,16.09,85.65,89.89,41.65,95.13,48.05,23.88,81.53,65.7,47.15,75.01
F0000044CN,15.71,2.22,1.44,9.63,3.54,7.91,0.38,-2.71,2.78,-0.74,53,73,39,1.78,,52.86,76.43,45.70 Bil,57.28,27.02,13.95,0,0,68.52,62.63,88.93,7.57,5.47,19.92,88.23,16.36,89.99,69.42,51.49,78.84,90.92,84.26,98.54,43.07,30.34,77.88,75.63,72.18,87.26
F000003VPU,12.94,1.33,1.12,7,4.27,7.64,-3.8,-3.36,0.11,-0.91,50,1,24,33.32,,52.6,73.12,24.83 Bil,32.04,34.95,30.46,0,0,85.56,80.69,97.45,7,4.66,12.98,82.72,58.01,93.67,89.33,68.43,92.35,78.84,35.54,78.84,52.3,26.91,68.01,51.31,44.06,69.1
F000002MYR,14.45,1.8,0.86,9.58,3.13,8.47,-2.13,1.51,0.32,0.61,54,41,32,-126.92,,52.39,74.61,39.12 Bil,46.28,41.27,9.42,0.06,0,78.29,76.86,98.2,13.61,3.04,14.88,59.56,25.4,91.69,41.56,41.56,88.77,82.33,47.27,96.14,37.22,22.91,64.12,67.22,42.17,67.22
F000002MYQ,14.45,1.8,0.86,9.58,3.13,8.47,-2.13,1.51,0.32,0.61,54,41,32,-126.92,,52.39,74.61,39.12 Bil,46.28,41.27,9.42,0.06,0,78.29,76.86,98.2,13.61,3.04,14.88,59.56,25.4,91.69,41.56,41.56,88.77,82.33,47.27,96.14,37.22,22.91,64.12,67.22,42.17,67.22
F0GBR04TV9,13.84,1.8,1.26,8.42,3.65,7.43,-10.61,-3.01,-0.56,0.26,33,1,38,22.9,,57.36,75.55,42.97 Bil,48.03,40.94,9.85,0,0,80.4,77.7,97.48,4.37,4.37,18.41,85.49,28.66,90.58,78.6,64.45,86.83,94.68,76.91,97.98,36.07,27.51,72.75,73.59,70.25,81.53
F0GBR05WLD,12.94,1.53,1.13,8.38,2.91,10.27,-5.77,-3.78,7.83,-0.16,215,99,18,70.96,,58.05,75.16,20.09 Bil,32.18,27,24.54,9.25,0.6,80.24,79.47,93.44,17.22,8.26,22.75,32.03,17.52,69.57,76.8,66.06,85.45,45.22,29.55,71.25,30.35,27.58,74,41.81,35.04,48.82
F000000FQ9,12.94,1.53,1.13,8.38,2.91,10.27,-5.77,-3.78,7.83,-0.16,215,99,18,70.96,,58.05,75.16,20.09 Bil,32.18,27,24.54,9.25,0.6,80.24,79.47,93.44,17.22,8.26,22.75,32.03,17.52,69.57,76.8,66.06,85.45,45.22,29.55,71.25,30.35,27.58,74,41.81,35.04,48.82
