SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F000002MYS,14.45,1.8,0.86,9.58,3.13,8.47,-2.13,1.51,0.32,0.61
F00000ZLTS,14.45,1.8,0.86,9.58,3.13,8.47,-2.13,1.51,0.32,0.61
F00000W7F6,14.45,1.8,0.86,9.58,3.13,8.47,-2.13,1.51,0.32,0.61
F00000J84V,15.95,2.24,2.09,11.43,2.79,8.1,-0.87,-10.07,-3.57,3
F00000J71C,15.95,2.24,2.09,11.43,2.79,8.1,-0.87,-10.07,-3.57,3
F00000PAO2,15.95,2.24,2.09,11.43,2.79,8.1,-0.87,-10.07,-3.57,3
F0GBR04SJW,32.63,5.27,4.48,26.91,1.11,14.86,-3.68,2,-3.85,7.43
FOGBR05LNS,32.63,5.27,4.48,26.91,1.11,14.86,-3.68,2,-3.85,7.43
F00000PAP8,32.63,5.27,4.48,26.91,1.11,14.86,-3.68,2,-3.85,7.43
F0GBR04AWZ,27.34,4.72,3.67,24.99,1.2,14.16,-3.76,-3.96,2.37,3.99
F00000Q7RF,27.34,4.72,3.67,24.99,1.2,14.16,-3.76,-3.96,2.37,3.99
F00000HH48,27.34,4.72,3.67,24.99,1.2,14.16,-3.76,-3.96,2.37,3.99
F000001VR4,27.34,4.72,3.67,24.99,1.2,14.16,-3.76,-3.96,2.37,3.99
F0GBR052CJ,19.3,2.29,2.09,16,1.91,10.81,6.76,-8.89,-5.5,-0.78
F0GBR052CK,19.3,2.29,2.09,16,1.91,10.81,6.76,-8.89,-5.5,-0.78
F000001GEN,19.03,2.15,2.24,12.85,1.74,12.52,1.02,-9.4,-1.56,-0.59
F000001XHP,19.03,2.15,2.24,12.85,1.74,12.52,1.02,-9.4,-1.56,-0.59
F00000XH8D,19.03,2.15,2.24,12.85,1.74,12.52,1.02,-9.4,-1.56,-0.59
F000001GEQ,19.03,2.15,2.24,12.85,1.74,12.52,1.02,-9.4,-1.56,-0.59
F000000LQ3,24.6,3.78,2.38,18.91,0.99,7.29,-9.28,1.08,20.67,8.64
F000001XHM,24.6,3.78,2.38,18.91,0.99,7.29,-9.28,1.08,20.67,8.64
F00000XH8E,24.6,3.78,2.38,18.91,0.99,7.29,-9.28,1.08,20.67,8.64
F000000LQ4,24.6,3.78,2.38,18.91,0.99,7.29,-9.28,1.08,20.67,8.64
F000001XHN,24.6,3.78,2.38,18.91,0.99,7.29,-9.28,1.08,20.67,8.64
F0000100W5,14.07,1.45,0.91,7.25,2.24,9.89,-4.57,-2.81,12.49,-0.72
F00000Q20H,11.71,0.99,0.69,8.29,1.65,16.07,-7.5,-3.85,17.86,-3.01
F0000100W9,11.71,0.99,0.69,8.29,1.65,16.07,-7.5,-3.85,17.86,-3.01
F00000LYE7,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99
