SecId,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension
0P0000VHLK,BGF India A2 EUR,3,5,India Equity,0,3.75,7.16,14.5,14.98,28.7,49.28,10.85,9.16,5.26,2.02,0.48,10.08,315137499,3,20223.62133,4,-2.32,1.04,96.02,24.88,0.45,3,1,3,FALSE
F00000NJP4,BGF India D2,3,5,India Equity,0,4.81,7.44,12.31,13.81,25.34,50.94,12.57,11.29,5.2632,1.27,0.48,10.08,315137498,3,20223.62133,4,-1.57,1.04,96.03,24.73,0.48,3,1,3,TRUE
0P0000VHLL,BGF India D2 EUR,3,5,India Equity,0,3.77,7.24,14.71,15.42,29.33,50.4,11.68,9.98,5.26,1.27,0.48,10.08,315137499,3,20223.62133,4,-1.57,1.04,96.03,24.91,0.48,3,1,3,FALSE
F0GBR06TY2,BGF India X2 USD,3,5,India Equity,0,4.8,7.51,12.61,14.39,26.16,52.52,13.71,12.41,0,0.26,0.48,10.08,315137498,3,20223.62133,4,-0.56,1.05,96.02,24.77,0.52,3,1,3,FALSE
F00000ZOT0,BGF Systematic China A-Shr Opps D2,4,2,China Equity - A Shares,0,0.71,-1.94,-4.1,-4.97,-0.32,12.15,22.05,,5,1.09,1.44,3.92,448526764,2,17516.18991,3,1.71,0.96,86.43,17.06,1.09,3,1,3,FALSE
F00001071Q,BIEF Emerging Markets A GBP Acc,4,2,Global Emerging Markets Equity,0.62047,1.43,1.64,-3.35,-7.72,0.09,10.79,10.05,,,1.12,1.17,24.08,,2,28614.24791,4,2.47,1.02,89.7,16.24,0.66,3,1,3,FALSE
F00000WDDU,BSF Emerging Markets Eq Strats A2 USD,2,1,Global Emerging Markets Equity,0,1.74,0.57,-10.74,-3.28,5.18,19.46,4.89,8.43,5.2632,1.59,0.3,6,349616978,1,10248.09695,5,-4.5,1.13,72.46,21.57,0.22,3,1,3,FALSE
F00000WKMS,BSF Emerging Markets Eq Strats D2 EUR,2,1,Global Emerging Markets Equity,0,0.76,0.45,-8.72,-1.67,8.9,19.62,4.54,7.66,5.2632,1.22,0.34,6,349616978,1,10248.09695,5,-4.1,1.14,71.56,21.88,0.24,3,1,3,FALSE
F00000WKMP,BSF Emerging Markets Eq Strats D2 USD,2,1,Global Emerging Markets Equity,0,1.76,0.61,-10.63,-3.04,5.54,20.05,5.41,8.97,5,1.38,0.32,6,349616978,1,10248.09695,5,-4,1.13,72.46,21.58,0.25,3,1,3,FALSE
0P00019Q4B,BL-Equities Asia BCM EUR USD,2,2,Asia ex-Japan Equity,0,3.24,1.85,-5.75,-3.93,-0.62,9.17,6.54,,5,1.03,0.19,2.42,522311290,2,24257.12712,1,-2.42,0.85,94.67,12.66,0.37,3,3,3,FALSE
F00000YIFD,BL-Equities Asia BM USD,2,2,Asia ex-Japan Equity,0,3.23,1.85,-5.75,-3.93,-0.62,9.17,6.66,,5,1.08,0.16,2.42,522311290,2,24257.12712,1,-2.3,0.84,94.83,12.63,0.38,3,3,3,FALSE
F00000SKJ3,BL-Equities Asia BR USD,1,2,Asia ex-Japan Equity,0,3.21,1.71,-6.12,-4.63,-1.55,7.98,6.5,5.74,5,1,0.14,2.42,522311290,2,24257.12712,1,-2.45,0.84,94.79,12.64,0.36,3,3,3,FALSE
F0GBR04SD4,BMO Asia Pacific Equity 1 Acc,2,3,Asia-Pacific ex-Japan Equity,0,1.33,3.77,-1.8,-3.24,0.83,7.66,4.72,8.34,5,1.92,0.33,4,48728088,2,19984.95309,4,-2.66,0.95,84.04,16.24,0.33,2,2,2,FALSE
F0GBR053M6,BMO Asia Pacific Equity 2 Acc,2,3,Asia-Pacific ex-Japan Equity,0.78594,1.4,3.91,-1.56,-2.73,1.51,8.69,5.74,9.38,0,0.93,0.33,4,48728088,2,19984.95309,4,-1.72,0.95,84.1,16.22,0.39,2,2,2,TRUE
F0GBR053M7,BMO Asia Pacific Equity 3 Acc,3,3,Asia-Pacific ex-Japan Equity,1.01801,1.37,3.91,-1.48,-2.59,1.68,9.02,6.11,9.52,0,0.62,0.33,4,48728088,2,19984.95309,4,-1.34,0.95,83.98,16.25,0.41,2,2,2,FALSE
F0GBR04KVU,BMO Emerging Markets Equity 1 Acc,2,4,Global Emerging Markets Equity,0,1.69,3.21,0.73,1.47,2.9,15.43,3.65,5.05,5,2.39,0.97,6.17,14147247,2,31404.32143,3,-3.51,0.95,86.59,15.6,0.27,2,2,2,FALSE
F000003W7I,BMO Emerging Markets Equity 2 Acc,3,4,Global Emerging Markets Equity,0.81055,1.69,3.3,1.03,2.09,3.72,16.72,4.91,6.3,0,1.11,0.97,6.17,14147247,2,31404.32143,3,-2.33,0.95,86.6,15.63,0.34,2,2,2,FALSE
F00000ZGJT,BMO LGM Glbl EmMkts Gr and Inc B EUR Acc,2,5,Global Emerging Markets Equity,0.99315,1.47,3.74,1.68,3.93,8.99,21.65,6.95,,0.5,1.02,0.32,11.25,298556184,2,29762.05092,2,-1.57,0.92,87.88,14.92,0.39,2,1,2,FALSE
F000005HGV,BMO LGM Glbl EmMkts Gr and Inc B USD Acc,3,5,Global Emerging Markets Equity,0.96456,2.45,3.81,-1.15,2.28,5.74,21.96,7.68,7.33,0,1.02,0.32,11.25,298556184,2,29762.05092,2,-1.55,0.92,88.41,14.9,0.39,2,1,2,FALSE
F00000SRPO,BMO LGM Glbl EmMkts Gr and Inc E USD Acc,2,5,Global Emerging Markets Equity,1.40905,2.46,3.89,-0.96,2.68,6.29,22.89,8.49,8.14,0,0.27,0.32,11.25,298556184,2,29762.05092,2,-0.8,0.92,88.4,14.91,0.44,2,1,2,FALSE
F00000XKI7,BMO LGM Glbl EmMkts Gr and Inc W USD Acc,2,5,Global Emerging Markets Equity,0.63912,2.43,3.75,-1.33,1.79,5.11,20.93,6.82,6.5,5.5,1.77,0.32,11.25,298556184,2,29762.05092,2,-2.35,0.92,88.42,14.89,0.34,2,1,2,FALSE
F00000ZQKA,BMO LGM Global Em Mkts Smlr Coms BUSDAcc,1,2,Global Emerging Markets Small/Mid-Cap Equity,0,1.95,3.32,4.82,10.64,15.47,36.58,6.11,,1,1.41,-0.01,4.08,88611856,5,1397.92727,3,-3.48,0.91,84.34,19.65,0.28,2,2,2,FALSE
F00000ZCM6,BMO LGM Global Em Mkts Smlr Coms F USD,1,2,Global Emerging Markets Small/Mid-Cap Equity,0,1.97,3.37,4.98,10.96,15.91,37.37,6.75,,5,0.8,-0.01,4.08,88611856,5,1397.92727,3,-2.88,0.91,84.34,19.65,0.31,2,2,2,FALSE
F00000S3ET,BMO LGM Responsible Asian Eq B USD Acc,2,3,Asia ex-Japan Equity,0,1.55,2.13,-0.72,0.78,7.09,22.29,9.74,9.97,0,1.25,0.6,7.83,1089871,2,13269.7271,3,0.37,0.93,78.78,16.41,0.5,2,1,2,FALSE
F000010FMP,BMO Responsible Glb Em Mkts Eq I Acc USD,3,4,Global Emerging Markets Equity,0,2.02,1.94,-1.71,-0.58,4.49,19.09,9.21,,5,1.06,0.24,5.5,596799048,2,24727.80647,1,0.34,0.81,88.94,12.97,0.52,2,2,2,FALSE
F00000YHVA,BMO Responsible Glb Em Mkts Eq R Acc GBP,3,4,Global Emerging Markets Equity,0,1.33,2.18,0.06,0.13,2.97,14.33,6.72,,0,0.99,0.24,5.5,596799048,2,24727.80647,1,0.38,0.82,87.23,13.18,0.52,2,2,2,FALSE
