SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F00000H6L3,9.71 Bil,17.81,21.36,43.28,12.60,0.00
F00000OTEI,9.71 Bil,17.81,21.36,43.28,12.60,0.00
F00000LJRH,23.48 Bil,34.72,31.72,26.59,3.18,0.00
F00000PW2A,8.50 Bil,22.72,15.06,43.76,12.07,2.07
F0GBR05ZMI,27.36 Bil,39.85,32.51,22.04,3.07,0.19
F000005OT2,2.13 Bil,0.00,1.86,57.95,39.10,0.00
F00000ZIAH,926.73 Mil,0.00,0.00,21.76,61.27,14.75
F00000ZIAG,926.73 Mil,0.00,0.00,21.76,61.27,14.75
F00000IRPR,2.85 Bil,7.90,14.62,36.48,18.92,16.17
F0000003BI,13.22 Bil,25.13,23.57,28.13,13.11,1.39
F00000P9GM,13.22 Bil,25.13,23.57,28.13,13.11,1.39
F00000VCVG,2.13 Bil,0.00,1.86,57.95,39.10,0.00
F00000IR5H,7.77 Bil,9.83,22.57,53.91,12.68,0.00
F0GBR058S1,8.70 Bil,15.95,22.16,46.87,9.61,1.21
F0GBR05XH7,8.70 Bil,15.95,22.16,46.87,9.61,1.21
F0GBR0538S,8.70 Bil,15.95,22.16,46.87,9.61,1.21
F00000WEPE ,18.65 Bil,27.57,28.45,29.36,8.24,0.00
F00000SK17 ,22.09 Bil,34.95,28.98,23.56,4.83,0.64
F000002DGO,32.71 Bil,35.03,37.32,19.27,4.73,0.72
F000003W55,738.32 Mil,0.00,0.00,17.67,51.39,27.00
F000003W54,738.32 Mil,0.00,0.00,17.67,51.39,27.00
F00001035L,9.06 Bil,18.18,25.50,35.10,10.36,5.99
F00000P0JS,5.42 Bil,4.62,23.19,47.76,20.61,2.24
F00000ZOBC,5.42 Bil,4.62,23.19,47.76,20.61,2.24
F00000P32K,5.42 Bil,4.62,23.19,47.76,20.61,2.24
F00000UP39,13.43 Bil,18.42,25.51,55.51,0.00,0.00
F00000Y7LH,19.01 Bil,45.87,9.38,43.59,0.00,0.00
F0000102K3,19.01 Bil,45.87,9.38,43.59,0.00,0.00
F000000LLW,17.87 Bil,29.03,31.74,32.42,6.50,0.00
F00000VAEP,17.87 Bil,29.03,31.74,32.42,6.50,0.00
F00000MLW3,17.87 Bil,29.03,31.74,32.42,6.50,0.00
F0GBR04RP4,17.32 Bil,27.61,30.27,31.21,7.28,0.00
F00000OCZS,17.32 Bil,27.61,30.27,31.21,7.28,0.00
F00000T2LI,17.32 Bil,27.61,30.27,31.21,7.28,0.00
F00000ZNUH,17.32 Bil,27.61,30.27,31.21,7.28,0.00
F00000PBNN,17.32 Bil,27.61,30.27,31.21,7.28,0.00
F000000FES,17.32 Bil,27.61,30.27,31.21,7.28,0.00
F00000VEYN,18.65 Bil,27.57,28.45,29.36,8.24,0.00
F00000VEYO,18.65 Bil,27.57,28.45,29.36,8.24,0.00
F00000VDTF,18.65 Bil,27.57,28.45,29.36,8.24,0.00
F000010QFY,18.65 Bil,27.57,28.45,29.36,8.24,0.00
F0GBR04RO4,7.95 Bil,12.13,27.98,45.63,13.97,0.00
F0GBR066C7,7.95 Bil,12.13,27.98,45.63,13.97,0.00
F00000QJP1,7.95 Bil,12.13,27.98,45.63,13.97,0.00
F00000PBNQ,7.95 Bil,12.13,27.98,45.63,13.97,0.00
F000000IN6,7.95 Bil,12.13,27.98,45.63,13.97,0.00
F000010CFW,15.19 Bil,29.48,19.94,33.97,13.83,1.98
F00000MJSA,5.29 Bil,3.94,31.65,31.46,16.16,3.74
F00000LWU4,5.29 Bil,3.94,31.65,31.46,16.16,3.74
F000000LRY,5.29 Bil,3.94,31.65,31.46,16.16,3.74
F000000LRX,5.29 Bil,3.94,31.65,31.46,16.16,3.74
F00000LY20,5.29 Bil,3.94,31.65,31.46,16.16,3.74
F0GBR05XH8,8.70 Bil,15.95,22.16,46.87,9.61,1.21
F00000XGRR,8.70 Bil,15.95,22.16,46.87,9.61,1.21
F0GBR05XH5,8.70 Bil,15.95,22.16,46.87,9.61,1.21
F00000LKZF,8.70 Bil,15.95,22.16,46.87,9.61,1.21
F00000JWLJ,13.60 Bil,17.67,39.45,33.56,7.74,0.00
F00000O1U8,8.38 Bil,15.58,32.49,29.33,11.83,6.14
F00000ZYG5,8.38 Bil,15.58,32.49,29.33,11.83,6.14
F00000SVX3,17.14 Bil,20.84,42.66,30.53,2.95,0.00
F0GBR050GL,12.69 Bil,24.07,29.75,33.60,5.60,2.98
F0GBR05PYU,8.43 Bil,12.58,32.92,32.25,15.88,0.12
F00000QLNH,8.43 Bil,12.58,32.92,32.25,15.88,0.12
F00000MQQS,8.43 Bil,12.58,32.92,32.25,15.88,0.12
F0GBR06KYB,16.17 Bil,22.09,31.84,36.33,2.85,0.00
F000010CMK,16.17 Bil,22.09,31.84,36.33,2.85,0.00
F000010CML,16.17 Bil,22.09,31.84,36.33,2.85,0.00
F0GBR04LHK,8.54 Bil,14.72,30.63,34.35,10.65,1.54
F0GBR04LHG,8.54 Bil,14.72,30.63,34.35,10.65,1.54
F00000PTAQ,9.89 Bil,19.14,30.39,36.29,12.39,0.00
F00000QH4R,9.89 Bil,19.14,30.39,36.29,12.39,0.00
F00000TIYN,,19.14,30.39,36.29,12.39,0.00
F00000O629,9.89 Bil,19.14,30.39,36.29,12.39,0.00
F00000ZYFX,9.89 Bil,19.14,30.39,36.29,12.39,0.00
F0GBR04MNH,13.16 Bil,16.70,36.91,41.09,2.95,0.00
F00000QLNB,13.16 Bil,16.70,36.91,41.09,2.95,0.00
F0GBR04RXW,13.05 Bil,16.58,36.51,41.01,3.26,0.00
F00000OK2B,,16.58,36.51,41.01,3.26,0.00
F0GBR04S19,1.65 Bil,0.00,0.00,55.93,34.26,8.25
F00000QLN9,1.65 Bil,0.00,0.00,55.93,34.26,8.25
