SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F0GBR04NOX,10.79,1.1,0.67,7.58,2.02,20.29,-11.8,-11.08,1.98,-8.21
F0GBR04Z15,10.79,1.1,0.67,7.58,2.02,20.29,-11.8,-11.08,1.98,-8.21
F0GBR06HTG,10.79,1.1,0.67,7.58,2.02,20.29,-11.8,-11.08,1.98,-8.21
F00000PI8Z,15.1,2.12,1.19,11.12,2.72,9.16,-5.88,-4.8,3.93,-0.4
F00000P9SW,15.1,2.12,1.19,11.12,2.72,9.16,-5.88,-4.8,3.93,-0.4
F0GBR06U39,26.13,3.24,2.54,21.26,0.72,13.67,6.41,-2.94,0.59,6.64
F00000271D,26.13,3.24,2.54,21.26,0.72,13.67,6.41,-2.94,0.59,6.64
F00000MBOY,10.81,1.66,1.43,6.42,2.32,11.8,14.14,-4.45,-4.46,1.63
F00000MJU1,21.11,3.16,1.69,13.7,1.2,10.69,-0.94,-4.64,12.18,-1.4
F00000MJTZ,21.11,3.16,1.69,13.7,1.2,10.69,-0.94,-4.64,12.18,-1.4
F000014XX1,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63
F000003U77,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63
F0GBR04FG6,13.02,1.56,1.01,9.45,3.17,7.33,-3.88,-3.52,-4.67,0.63
F0GBR06KDH,13.02,1.56,1,9.37,3.19,7.29,-3.76,-3.41,-4.46,0.63
F0GBR06KDN,14.84,1.93,1.15,9.29,2.15,11.23,-8.72,-6.28,-3.9,0.13
F000014XWZ,8.42,1.13,0.9,6.63,2.91,7.75,-0.57,-5.62,0.74,-0.75
F00000O7HQ,8.42,1.13,0.9,6.63,2.91,7.75,-0.57,-5.62,0.74,-0.75
F0GBR04C7X,8.42,1.13,0.9,6.63,2.91,7.75,-0.57,-5.62,0.74,-0.75
F000014XXB,13.99,1.67,0.97,11.34,1.58,8.96,-15.87,-6.64,7.54,-0.77
F00000NKOC,13.99,1.67,0.97,11.34,1.58,8.96,-15.87,-6.64,7.54,-0.77
F0GBR04SCW,13.99,1.67,0.97,11.34,1.58,8.96,-15.87,-6.64,7.54,-0.77
F000014XXD,14.88,1.93,1.15,9.31,2.15,11.24,-8.66,-6.26,-4.07,0.14
F000003U7B,14.88,1.93,1.15,9.31,2.15,11.24,-8.66,-6.26,-4.07,0.14
F0GBR04E9A,14.88,1.93,1.15,9.31,2.15,11.24,-8.66,-6.26,-4.07,0.14
F00000UMAF,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4
F00000UMAI,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4
F00000Y8YN,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4
F00000UMAO,17.64,3.16,2.04,13.14,3.3,8.93,-5.12,2.4,11.18,8.4
F0GBR06HVF,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84
F00000P8DV,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84
F00000Y4J0,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84
F0GBR04RV2,27.56,4.34,1.68,17.26,0.78,15.37,14.87,5.38,36.49,12.84
F00000J5DM,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59
F00000NRQ7,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59
F00000OOVI,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59
F00000J5DN,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59
F00000P6YC,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59
F00000XMNY,14.17,1.75,1.49,9.78,2.52,11.63,-8.11,-8.17,-0.04,-2.59
F00000X3SE,13.36,1.73,1.28,8.67,2.6,11.17,-6.04,-6.01,5.08,-2.65
F0GBR04EAP,23.08,3.06,3.1,23.85,1.42,12.42,-11.6,-6.17,11.44,1.44
F000002XX1,15.1,2.12,1.19,11.12,2.72,9.16,-5.88,-4.8,3.93,-0.4
F0GBR050DD,11.63,1.24,0.99,8.45,2.87,13.84,-8.1,-8.12,-3.98,-2.38
