SecId,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000OPVC,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F000000FRT,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F0GBR04RUO,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F00000P8DU,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F00000Y4IZ,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F000000213,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F0GBR0549B,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F00000OPUU,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F0GBR04O7W,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F0GBR06XPG,24.8,9.01,74.74,79.43,21.29,82.55,49.98,8.63,92.9,28.17,13.33,77.67,28,7.91,37.62,51.05,17.5,89,19.32,19.04,38.51
F00000P8DS,24.8,9.01,74.74,79.43,21.29,82.55,49.98,8.63,92.9,28.17,13.33,77.67,28,7.91,37.62,51.05,17.5,89,19.32,19.04,38.51
F0GBR04RVV,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000WRZP,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000Q8RS,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000OPTZ,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F0GBR04RV5,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000WRZM,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F0GBR06XQ6,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F00000Q8S3,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F00000OPVE,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F0GBR06MNV,61.78,46.63,90.61,95.67,13.97,98.19,9.87,6.41,99.9,76.13,14.66,88.54,3.34,1,23.67,26.61,6.48,82.6,11.3,9.22,15.93
F0GBR06IAX,65.57,60.7,81.63,32.43,12.79,36.71,73.9,23.84,84.23,76.07,41.17,85.86,28.03,13.84,77.92,41.99,27.58,89.69,49.73,44.07,65.71
F0GBR06IAY,65.57,60.7,81.63,32.43,12.79,36.71,73.9,23.84,84.23,76.07,41.17,85.86,28.03,13.84,77.92,41.99,27.58,89.69,49.73,44.07,65.71
F0GBR04RM3,42.44,28.48,78.59,65.5,36.61,75.29,31.17,6.44,71.01,62.74,31.35,73.89,23.39,8.14,57.93,42.8,31.26,90.04,25.57,25.17,48.96
F0GBR053P3,42.44,28.48,78.59,65.5,36.61,75.29,31.17,6.44,71.01,62.74,31.35,73.89,23.39,8.14,57.93,42.8,31.26,90.04,25.57,25.17,48.96
F000003YGM,85.5,69.08,86.79,14.41,7.92,22.63,78.66,18.13,91.13,77.71,48.58,86.35,45.2,21.07,95.62,35.99,20.39,88.98,36.68,33.71,50.8
F0000005ZF,17.17,8.65,69.61,86.85,73.53,94.49,17.26,4.68,89.45,24.88,10.02,81.89,14.22,5.49,44.49,40.89,23.28,90.53,15.66,14.33,42.68
F0000005Z9,17.17,8.65,69.61,86.85,73.53,94.49,17.26,4.68,89.45,24.88,10.02,81.89,14.22,5.49,44.49,40.89,23.28,90.53,15.66,14.33,42.68
F0GBR04NOX,86.18,26.88,97.74,45.4,4.69,75.82,44.55,16.39,99.42,84.66,42.32,93.01,9.64,2.63,79.97,28.49,15.7,90.12,29.22,15.82,43.7
F0GBR04Z15,86.18,26.88,97.74,45.4,4.69,75.82,44.55,16.39,99.42,84.66,42.32,93.01,9.64,2.63,79.97,28.49,15.7,90.12,29.22,15.82,43.7
F0GBR06HTG,86.18,26.88,97.74,45.4,4.69,75.82,44.55,16.39,99.42,84.66,42.32,93.01,9.64,2.63,79.97,28.49,15.7,90.12,29.22,15.82,43.7
F00000PI8Z,66.94,51.81,82.78,27.65,8.78,30.94,59.49,21.45,87.38,70.51,70.49,90.77,31.45,13.27,92.23,62.3,21.84,91.72,26.39,25.28,44.46
F00000P9SW,66.94,51.81,82.78,27.65,8.78,30.94,59.49,21.45,87.38,70.51,70.49,90.77,31.45,13.27,92.23,62.3,21.84,91.72,26.39,25.28,44.46
F0GBR06U39,6,2.6,16.09,95.48,84.31,96.2,19.91,2.54,95.78,5.51,3.14,14.36,8.19,2.61,21.1,75,53.57,96.93,5.38,4.41,8.15
F00000271D,6,2.6,16.09,95.48,84.31,96.2,19.91,2.54,95.78,5.51,3.14,14.36,8.19,2.61,21.1,75,53.57,96.93,5.38,4.41,8.15
F00000MBOY,73.39,44.42,95.6,36.51,6.05,91.49,5.23,2.04,100,7.06,6.84,91.81,10.61,1,28.81,10.17,4.78,36.27,40.29,30.9,48.35
F00000MJU1,23.36,5.8,67.43,87.52,26.04,93.14,36.1,2.55,94.71,15.1,5.36,97.09,40.16,7.34,93.16,35.7,8.85,85.57,24.73,17.51,42.93
F00000MJTZ,23.36,5.8,67.43,87.52,26.04,93.14,36.1,2.55,94.71,15.1,5.36,97.09,40.16,7.34,93.16,35.7,8.85,85.57,24.73,17.51,42.93
F000014XX1,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8
F000003U77,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8
F0GBR04FG6,80.93,64.32,88.34,15.17,11.61,22.57,65.27,18.84,90.3,79.57,74.87,89.38,28.79,17.9,77.65,21.43,21.43,83.86,34.16,33.79,49.8
F0GBR06KDH,81.52,64.44,88.44,14.48,11.38,23.57,65.56,20.12,90.63,79.92,75.24,89.45,28.96,18.52,79.4,21.08,21.08,83.75,34.2,34.2,51.17
F0GBR06KDN,59.03,43.89,91.12,44.77,24.48,64.63,23.47,14.59,98.17,71.86,32.82,79.52,13.06,5.17,44.56,20.03,14.38,89.98,23.9,20.35,26.55
F000014XWZ,97.99,53.65,97.99,22.6,5.48,71.65,10.17,2.37,88.89,67.39,17.96,78.79,13.45,4.13,45.54,18.91,16.86,73.41,31.91,22.16,40.85
F00000O7HQ,97.99,53.65,97.99,22.6,5.48,71.65,10.17,2.37,88.89,67.39,17.96,78.79,13.45,4.13,45.54,18.91,16.86,73.41,31.91,22.16,40.85
F0GBR04C7X,97.99,53.65,97.99,22.6,5.48,71.65,10.17,2.37,88.89,67.39,17.96,78.79,13.45,4.13,45.54,18.91,16.86,73.41,31.91,22.16,40.85
F000014XXB,75.48,30.33,85.56,65.1,12.7,71.99,13.77,7.94,98.53,65.55,25.84,76.76,9.19,2.66,43.02,18.36,10.63,79.41,22.29,18.43,30.99
F00000NKOC,75.48,30.33,85.56,65.1,12.7,71.99,13.77,7.94,98.53,65.55,25.84,76.76,9.19,2.66,43.02,18.36,10.63,79.41,22.29,18.43,30.99
F0GBR04SCW,75.48,30.33,85.56,65.1,12.7,71.99,13.77,7.94,98.53,65.55,25.84,76.76,9.19,2.66,43.02,18.36,10.63,79.41,22.29,18.43,30.99
F000014XXD,58.46,44.16,91.41,45.57,24.86,66.65,23.55,14.99,98.72,70.9,31.84,79.65,13.07,5.24,41.86,20.21,14.57,90.83,23.97,18.9,26.12
F000003U7B,58.46,44.16,91.41,45.57,24.86,66.65,23.55,14.99,98.72,70.9,31.84,79.65,13.07,5.24,41.86,20.21,14.57,90.83,23.97,18.9,26.12
F0GBR04E9A,58.46,44.16,91.41,45.57,24.86,66.65,23.55,14.99,98.72,70.9,31.84,79.65,13.07,5.24,41.86,20.21,14.57,90.83,23.97,18.9,26.12
F00000UMAF,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58
F00000UMAI,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58
F00000Y8YN,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58
F00000UMAO,67.87,55.46,71.37,11.94,11.94,61.69,92.16,41.8,93.12,76.46,71.13,89.8,80.97,36.55,95.74,87.56,72.73,94.81,42.93,42.41,61.58
F0GBR06HVF,3.61,1,53.18,96.19,68.99,96.98,10.47,1,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77
F00000P8DV,3.61,1,53.18,96.19,68.99,96.98,10.47,1,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77
F00000Y4J0,3.61,1,53.18,96.19,68.99,96.98,10.47,1,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77
F0GBR04RV2,3.61,1,53.18,96.19,68.99,96.98,10.47,1,96.53,3.42,2.92,31.33,9.9,2.39,34.1,65.57,35.66,99.1,6.39,3.91,8.77
F00000J5DM,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3
F00000NRQ7,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3
F00000OOVI,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3
F00000J5DN,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3
F00000P6YC,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3
F00000XMNY,69.04,61.85,81.79,28.19,11.5,35.83,74.55,24.08,83.6,83.95,46.7,85.75,29.35,14.49,81.86,36.36,27.49,89.9,47.48,44.34,64.3
F00000X3SE,73.84,51.27,82.36,21.97,8.19,29.89,68.25,14.76,81.47,75.66,35.87,81.99,31.26,12.1,77.09,38.69,28.99,87.29,42.35,41.04,58.93
F0GBR04EAP,13.42,5.65,73.47,80.76,20.5,87.42,47.98,10.44,93.1,35.01,16.34,89.03,31.84,10.12,41.39,46.45,18.06,91.39,23.55,23.55,42.08
F000002XX1,66.94,51.81,82.78,27.65,8.78,30.94,59.49,21.45,87.38,70.51,70.49,90.77,31.45,13.27,92.23,62.3,21.84,91.72,26.39,25.28,44.46
F0GBR050DD,79.85,28.24,94.5,18.27,7.01,51.93,72.87,22.23,98.14,72.33,42.2,91.78,24.98,2.84,93.19,41.39,14.73,89.33,42.32,21.48,47.15
F0GBR04S31,18.61,9.71,25.9,95.23,64.34,97.46,20.91,8.12,95.03,20.61,14.4,40.36,11.61,2.34,39.21,39.27,13.41,88.37,10.2,7.75,27.05
F0GBR050CG,18.61,9.71,25.9,95.23,64.34,97.46,20.91,8.12,95.03,20.61,14.4,40.36,11.61,2.34,39.21,39.27,13.41,88.37,10.2,7.75,27.05
F0GBR04FKN,86.49,23.56,97.89,44.34,4.7,77.25,44.71,15.8,99.48,84.93,39.82,92.85,9.59,2.82,79.53,27.34,15.45,90.46,29.23,16.64,43
0P0000VHN0,14.17,3.36,23.65,75.29,36.46,81.78,32.78,5,81.79,32.55,9.71,66.7,33.17,10.49,52.48,52,14.78,84.73,36.96,34.32,51.63
0P0000VHN1,14.17,3.36,23.65,75.29,36.46,81.78,32.78,5,81.79,32.55,9.71,66.7,33.17,10.49,52.48,52,14.78,84.73,36.96,34.32,51.63
F0000020SC,14.17,3.36,23.65,75.29,36.46,81.78,32.78,5,81.79,32.55,9.71,66.7,33.17,10.49,52.48,52,14.78,84.73,36.96,34.32,51.63
0P0000VHN2,14.17,3.36,23.65,75.29,36.46,81.78,32.78,5,81.79,32.55,9.71,66.7,33.17,10.49,52.48,52,14.78,84.73,36.96,34.32,51.63
0P0000X5CU,14.17,3.36,23.65,75.29,36.46,81.78,32.78,5,81.79,32.55,9.71,66.7,33.17,10.49,52.48,52,14.78,84.73,36.96,34.32,51.63
F00000XVRP,14.17,3.36,23.65,75.29,36.46,81.78,32.78,5,81.79,32.55,9.71,66.7,33.17,10.49,52.48,52,14.78,84.73,36.96,34.32,51.63
F0GBR04ARJ,79.96,21.42,84.72,34.55,12.03,95.5,2.51,1,100,7.12,5.62,53,14.03,2.03,24.31,17.03,6.1,70.59,49.56,29.74,51.23
0P0000RZ3H,79.96,21.42,84.72,34.55,12.03,95.5,2.51,1,100,7.12,5.62,53,14.03,2.03,24.31,17.03,6.1,70.59,49.56,29.74,51.23
F000000F9X,79.96,21.42,84.72,34.55,12.03,95.5,2.51,1,100,7.12,5.62,53,14.03,2.03,24.31,17.03,6.1,70.59,49.56,29.74,51.23
0P0000VHOE,79.96,21.42,84.72,34.55,12.03,95.5,2.51,1,100,7.12,5.62,53,14.03,2.03,24.31,17.03,6.1,70.59,49.56,29.74,51.23
F0000020MO,79.96,21.42,84.72,34.55,12.03,95.5,2.51,1,100,7.12,5.62,53,14.03,2.03,24.31,17.03,6.1,70.59,49.56,29.74,51.23
0P0000VHOG,79.96,21.42,84.72,34.55,12.03,95.5,2.51,1,100,7.12,5.62,53,14.03,2.03,24.31,17.03,6.1,70.59,49.56,29.74,51.23
F00001071O,33.56,31.81,71.55,62.37,21.09,62.37,72.23,22.07,86.66,73.19,58.47,82.23,21.69,12.01,45.95,47.78,32.85,85.45,37.18,36.67,46.4
F00000ONYS,60.41,58.07,70.41,32.09,19.82,35.39,67.96,33.87,70.77,73.15,61.52,75.03,44.18,35.57,74.48,48.4,40.82,79.84,64.6,61.53,72.98
F0GBR06IQR,60.41,58.07,70.41,32.09,19.82,35.39,67.96,33.87,70.77,73.15,61.52,75.03,44.18,35.57,74.48,48.4,40.82,79.84,64.6,61.53,72.98
F00000MQUX,34.21,19.72,60.54,59.34,31.83,62.91,70.61,11.45,83.37,70.83,31.6,77.27,32.3,12.88,67.96,41.06,35.66,92.56,38.81,37.32,48.75
F0GBR06IQT,34.21,19.72,60.54,59.34,31.83,62.91,70.61,11.45,83.37,70.83,31.6,77.27,32.3,12.88,67.96,41.06,35.66,92.56,38.81,37.32,48.75
F0GBR04ELG,14.09,3.09,23.66,75.63,34.6,82.18,33.07,4.94,82.24,31.59,9.5,66.02,33.29,10.4,51.65,53.84,14.79,84.6,36.24,34.89,53.11
F00000J007,14.09,3.09,23.66,75.63,34.6,82.18,33.07,4.94,82.24,31.59,9.5,66.02,33.29,10.4,51.65,53.84,14.79,84.6,36.24,34.89,53.11
F00000T33V,14.09,3.09,23.66,75.63,34.6,82.18,33.07,4.94,82.24,31.59,9.5,66.02,33.29,10.4,51.65,53.84,14.79,84.6,36.24,34.89,53.11
F000010KU7,14.09,3.09,23.66,75.63,34.6,82.18,33.07,4.94,82.24,31.59,9.5,66.02,33.29,10.4,51.65,53.84,14.79,84.6,36.24,34.89,53.11
F0GBR04RTV,67.5,46.75,78.93,25.43,12.55,56.94,80.44,20.32,95.55,68.41,43.08,89.52,49.26,16.08,82.51,57.51,30.39,91.32,44.99,43.06,62.32
F00000MJPT,67.5,46.75,78.93,25.43,12.55,56.94,80.44,20.32,95.55,68.41,43.08,89.52,49.26,16.08,82.51,57.51,30.39,91.32,44.99,43.06,62.32
F00000VFX1,67.5,46.75,78.93,25.43,12.55,56.94,80.44,20.32,95.55,68.41,43.08,89.52,49.26,16.08,82.51,57.51,30.39,91.32,44.99,43.06,62.32
F00000WNYU,67.5,46.75,78.93,25.43,12.55,56.94,80.44,20.32,95.55,68.41,43.08,89.52,49.26,16.08,82.51,57.51,30.39,91.32,44.99,43.06,62.32
F0GBR04RTX,26.07,10.79,36.48,81.38,59.68,83.89,28.03,6.14,72.43,18.78,11.18,35.03,14.49,6.03,52.66,40.35,31.96,91.3,18.35,17.43,28.49
