SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent
F000003W55,92,3,20,49.42,96.45,60.83,76.9
F000003W54,92,3,20,49.42,96.45,60.83,76.9
F00001035L,245,6,22,\u2014,55.97,52.27,76.42
F00000P0JS,28,1,\u2014,149.87,,74.64,92.74
F00000ZOBC,28,1,\u2014,149.87,,74.64,92.74
F00000P32K,28,1,\u2014,149.87,,74.64,92.74
F00000UP39,40,6,45,\u2014,72.53,58.69,76.91
F00000Y7LH,39,1,49,\u2014,62.24,49.14,71.22
F0000102K3,39,1,49,\u2014,62.24,49.14,71.22
F000000LLW,46,9,32,-14.52,,49.09,69.15
F00000VAEP,46,9,32,-14.52,,49.09,69.15
F00000MLW3,46,9,32,-14.52,,49.09,69.15
F0GBR04RP4,46,9,30,92.00,,49.88,69.39
F00000OCZS,46,9,30,92.00,,49.88,69.39
F00000T2LI,46,9,30,92.00,,49.88,69.39
F00000ZNUH,46,9,30,92.00,,49.88,69.39
F00000PBNN,46,9,30,92.00,,49.88,69.39
F000000FES,46,9,30,92.00,,49.88,69.39
F00000VEYN,35,9,52,26.00,74.77,62.77,80.54
F00000VEYO,35,9,52,26.00,74.77,62.77,80.54
F00000VDTF,35,9,52,26.00,74.77,62.77,80.54
F000010QFY,35,9,52,26.00,74.77,62.77,80.54
F0GBR04RO4,48,10,37,25.00,,75.3,90.07
F0GBR066C7,48,10,37,25.00,,75.3,90.07
F00000QJP1,48,10,37,25.00,,75.3,90.07
F00000PBNQ,48,10,37,25.00,,75.3,90.07
F000000IN6,48,10,37,25.00,,75.3,90.07
F000010CFW,34,1,43,\u2014,81.12,56.49,76.3
F00000MJSA,42,16,55,29.29,99.21,51.48,76.02
F00000LWU4,42,16,55,29.29,99.21,51.48,76.02
F000000LRY,42,16,55,29.29,99.21,51.48,76.02
F000000LRX,42,16,55,29.29,99.21,51.48,76.02
F00000LY20,42,16,55,29.29,99.21,51.48,76.02
F0GBR05XH8,191,9,20,92.00,54.54,49.69,71.13
F00000XGRR,191,9,20,92.00,54.54,49.69,71.13
F0GBR05XH5,191,9,20,92.00,54.54,49.69,71.13
F00000LKZF,191,9,20,92.00,54.54,49.69,71.13
F00000JWLJ,177,19,\u2014,25.00,81.88,53.39,79.63
F00000O1U8,0,8,98,104.49,,49.5,70.75
F00000ZYG5,0,8,98,104.49,,49.5,70.75
F00000SVX3,37,8,40,\u2014,,54.07,75.78
F0GBR050GL,44,6,\u2014,15.34,61.68,47.46,69.84
F0GBR05PYU,45,5,\u2014,3.33,78.24,52.44,76.48
F00000QLNH,45,5,\u2014,3.33,78.24,52.44,76.48
F00000MQQS,45,5,\u2014,3.33,78.24,52.44,76.48
F0GBR06KYB,33,4,\u2014,66.96,74.32,59.8,78.45
F000010CMK,33,4,\u2014,66.96,74.32,59.8,78.45
F000010CML,33,4,\u2014,66.96,74.32,59.8,78.45
F0GBR04LHK,45,7,\u2014,8.51,76.64,49.07,69.95
F0GBR04LHG,45,7,\u2014,8.51,76.64,49.07,69.95
F00000PTAQ,47,3,\u2014,50.30,70.52,46.92,69.23
F00000QH4R,47,3,\u2014,50.30,70.52,46.92,69.23
F00000TIYN,47,3,\u2014,50.30,70.52,46.92,69.23
F00000O629,47,3,\u2014,50.30,70.52,46.92,69.23
F00000ZYFX,47,3,\u2014,50.30,70.52,46.92,69.23
F0GBR04MNH,35,4,\u2014,25.91,76.16,51.23,74.87
F00000QLNB,35,4,\u2014,25.91,76.16,51.23,74.87
F0GBR04RXW,35,4,\u2014,46.53,76.09,51.67,75
F00000OK2B,35,4,\u2014,46.53,76.09,51.67,75
F0GBR04S19,60,3,\u2014,34.09,,75.25,85.26
F00000QLN9,60,3,\u2014,34.09,,75.25,85.26
F0GBR04E5D,35,3,\u2014,105.01,76.14,51.88,75.08
F0GBR04M3Y,35,3,\u2014,105.01,76.14,51.88,75.08
F0GBR05A4S,35,3,\u2014,105.01,76.14,51.88,75.08
F0GBR06LYY,149,15,21,138.97,53.42,47.71,72.9
F0GBR06N2I,162,22,20,48.44,52.16,48.95,70.63
F0GBR06MOS,131,24,26,102.63,55.82,48.56,67.99
F0GBR06XRM,131,24,26,102.63,55.82,48.56,67.99
F0GBR06XRN,131,24,26,102.63,55.82,48.56,67.99
F0GBR04MY3,43,15,38,38.40,98.57,55.79,75.06
F00000PZHP,43,15,38,38.40,98.57,55.79,75.06
F00000YQMD,43,15,38,38.40,98.57,55.79,75.06
F0GBR04S4I,42,14,36,15.93,74.78,47.88,70.81
F0GBR06OMD,42,14,36,15.93,74.78,47.88,70.81
F00000PZHQ,42,14,36,15.93,74.78,47.88,70.81
F00000YQME,42,14,36,15.93,74.78,47.88,70.81
F0GBR04IBK,173,15,31,44.47,,48.97,70.82
F00000YQNH,173,15,31,44.47,,48.97,70.82
F0GBR04MY7,148,17,31,30.12,,48.16,70.72
F0GBR05AAU,148,17,31,30.12,,48.16,70.72
F00000YQNJ,148,17,31,30.12,,48.16,70.72
F0GBR06M63,33,4,49,97.62,76.16,52.14,76.03
F00000TPCR,177,19,\u2014,25.00,81.88,53.39,79.63
F000000GR3,27,4,52,70.60,72.46,63.48,81.31
F00000LWQR,27,4,52,70.60,72.46,63.48,81.31
F00000Q8Q2,27,4,52,70.60,72.46,63.48,81.31
F00000W6D8,65,5,37,\u2014,74.24,50.62,72.03
F0GBR06M62,33,4,49,97.62,76.16,52.14,76.03
F0GBR04S2M,33,4,49,97.62,76.16,52.14,76.03
F00000YQNK,33,4,49,97.62,76.16,52.14,76.03
F0GBR04S2V,73,5,22,49.29,,58.84,77.81
F0GBR051NU,73,5,22,49.29,,58.84,77.81
F00000MEXO,169,48,\u2014,21.77,72.27,54.22,75.65
F00000Y0PH,35,101,\u2014,-34.58,76.12,51.87,75.12
F0GBR06KYC,33,4,\u2014,66.96,74.32,59.8,78.45
F0GBR059Y0,45,7,\u2014,8.51,76.64,49.07,69.95
F00000MEXQ,35,4,\u2014,25.91,76.16,51.23,74.87
F00000MQQW,35,4,\u2014,46.53,76.09,51.67,75
F00000NBKE,60,3,\u2014,34.09,,75.25,85.26
F0GBR06XR2,149,15,21,138.97,53.42,47.71,72.9
F00000W6D7,55,5,37,\u2014,74.21,49.45,72.38
F0GBR06L2G,375,118,27,44.35,55.13,48.05,72.44
F0GBR04E06,62,2,38,\u2014,80.10,51.62,78.4
F000000FW2,59,23,\u2014,51.16,,53.12,75.57
F00000QLNR,59,23,\u2014,51.16,,53.12,75.57
F00000NBKA,59,23,\u2014,51.16,,53.12,75.57
F0GBR04RWU,37,26,\u2014,13.96,72.30,54.38,75.69
F00000QLNL,37,26,\u2014,13.96,72.30,54.38,75.69
F00000MEXM,37,26,\u2014,13.96,72.30,54.38,75.69
F0000003ID,169,48,\u2014,21.77,72.27,54.22,75.65
F00000QLNJ,169,48,\u2014,21.77,72.27,54.22,75.65
