SecId,company_1,percent_1,company_2,percent_2,company_3,percent_3,company_4,percent_4,company_5,percent_5,company_6,percent_6,company_7,percent_7,company_8,percent_8,company_9,percent_9,company_10,percent_10
F0GBR04UML,GlaxoSmithKline PLC,2.51,Imperial Brands PLC,2.35,Phoenix Group Holdings PLC,2.22,BP PLC,2.06,Aviva PLC,1.93,Legal & General Group PLC,1.75,Anglo American PLC,1.75,ITV PLC,1.6,,,,
F00000VDJW,GlaxoSmithKline PLC,2.51,Imperial Brands PLC,2.35,Phoenix Group Holdings PLC,2.22,BP PLC,2.06,Aviva PLC,1.93,Legal & General Group PLC,1.75,Anglo American PLC,1.75,ITV PLC,1.6,,,,
F00000P0VM,BP PLC,6.74,Royal Dutch Shell PLC B,5.83,Vodafone Group PLC,5.54,AstraZeneca PLC,4.61,BAE Systems PLC,4.34,Barclays PLC,4.08,SSE PLC,3.66,Aviva PLC,3.43,National Grid PLC,3.31,NatWest Group PLC,3.24
F0GBR04DEY,Future PLC,3.22,RWS Holdings PLC,2.91,JTC PLC Ordinary Shares,2.85,CVS Group PLC,2.6,Clinigen Group PLC,2.38,Volution Group PLC,2.36,Hilton Food Group PLC,2.28,Aptitude Software Group PLC,2.2,Hill & Smith Holdings PLC,2.1,Hollywood Bowl Group PLC,2
F000005F1I,Future PLC,3.22,RWS Holdings PLC,2.91,JTC PLC Ordinary Shares,2.85,CVS Group PLC,2.6,Clinigen Group PLC,2.38,Volution Group PLC,2.36,Hilton Food Group PLC,2.28,Aptitude Software Group PLC,2.2,Hill & Smith Holdings PLC,2.1,Hollywood Bowl Group PLC,2
F00000SVGS,Future PLC,3.22,RWS Holdings PLC,2.91,JTC PLC Ordinary Shares,2.85,CVS Group PLC,2.6,Clinigen Group PLC,2.38,Volution Group PLC,2.36,Hilton Food Group PLC,2.28,Aptitude Software Group PLC,2.2,Hill & Smith Holdings PLC,2.1,Hollywood Bowl Group PLC,2
F00000P0VD,Future PLC,3.22,RWS Holdings PLC,2.91,JTC PLC Ordinary Shares,2.85,CVS Group PLC,2.6,Clinigen Group PLC,2.38,Volution Group PLC,2.36,Hilton Food Group PLC,2.28,Aptitude Software Group PLC,2.2,Hill & Smith Holdings PLC,2.1,Hollywood Bowl Group PLC,2
F00000OJM3,Unilever PLC,5.5,AstraZeneca PLC,5.28,HSBC Holdings PLC,5.03,Rio Tinto PLC,3.89,Diageo PLC,3.74,Royal Dutch Shell PLC Class A,3.43,GlaxoSmithKline PLC,3.4,BP PLC,3.35,British American Tobacco PLC,3.29,Royal Dutch Shell PLC B,2.98
F00000OJM4,Unilever PLC,5.5,AstraZeneca PLC,5.28,HSBC Holdings PLC,5.03,Rio Tinto PLC,3.89,Diageo PLC,3.74,Royal Dutch Shell PLC Class A,3.43,GlaxoSmithKline PLC,3.4,BP PLC,3.35,British American Tobacco PLC,3.29,Royal Dutch Shell PLC B,2.98
F00000P25J,Unilever PLC,5.5,AstraZeneca PLC,5.28,HSBC Holdings PLC,5.03,Rio Tinto PLC,3.89,Diageo PLC,3.74,Royal Dutch Shell PLC Class A,3.43,GlaxoSmithKline PLC,3.4,BP PLC,3.35,British American Tobacco PLC,3.29,Royal Dutch Shell PLC B,2.98
F00000OJM5,Unilever PLC,5.5,AstraZeneca PLC,5.28,HSBC Holdings PLC,5.03,Rio Tinto PLC,3.89,Diageo PLC,3.74,Royal Dutch Shell PLC Class A,3.43,GlaxoSmithKline PLC,3.4,BP PLC,3.35,British American Tobacco PLC,3.29,Royal Dutch Shell PLC B,2.98
F00000QJ55,Unilever PLC,4.66,AstraZeneca PLC,4.39,HSBC Holdings PLC,4,Diageo PLC,3.23,GlaxoSmithKline PLC,2.86,Rio Tinto PLC,2.86,British American Tobacco PLC,2.65,BP PLC,2.6,Royal Dutch Shell PLC Class A,2.43,Royal Dutch Shell PLC B,2.09
F00000QJ56,Unilever PLC,4.66,AstraZeneca PLC,4.39,HSBC Holdings PLC,4,Diageo PLC,3.23,GlaxoSmithKline PLC,2.86,Rio Tinto PLC,2.86,British American Tobacco PLC,2.65,BP PLC,2.6,Royal Dutch Shell PLC Class A,2.43,Royal Dutch Shell PLC B,2.09
F00000QJ57,Unilever PLC,4.66,AstraZeneca PLC,4.39,HSBC Holdings PLC,4,Diageo PLC,3.23,GlaxoSmithKline PLC,2.86,Rio Tinto PLC,2.86,British American Tobacco PLC,2.65,BP PLC,2.6,Royal Dutch Shell PLC Class A,2.43,Royal Dutch Shell PLC B,2.09
F00000QJ59,Unilever PLC,4.66,AstraZeneca PLC,4.39,HSBC Holdings PLC,4,Diageo PLC,3.23,GlaxoSmithKline PLC,2.86,Rio Tinto PLC,2.86,British American Tobacco PLC,2.65,BP PLC,2.6,Royal Dutch Shell PLC Class A,2.43,Royal Dutch Shell PLC B,2.09
F00000OJM6,Weir Group PLC,1.28,Direct Line Insurance Group PLC,1.09,Electrocomponents PLC,1.08,Royal Mail PLC,1.03,ITV PLC,1.02,Howden Joinery Group PLC,0.99,G4S PLC,0.93,Travis Perkins PLC,0.9,,,,
